文件前缀,sm00,,so00,,um0,,nm00,,nm10,
,总数据,QIAO数据,总数据,QIAO数据,总数据,QIAO数据,总数据,QIAO数据,总数据,QIAO数据
记录类型,S1-8,,S9,,U1-5,,N1,,N2,
数据条数,127065,3261,8152,1288,62412,4297,17223,7116,3252,402
条数占比,3%,,16%,,7%,,41%,,12%,
文件数,89,2,54,2,123,3,84,7,36,3
,,,,,,,,,,
QIAO数据,QIAO数据,QIAO数据,QIAO数据,,总数据,QIAO数据,,,,
N,nm0015,943,1996-2006,,🪐 N,N：1996–2019,,,,
N,nm0019,1095,2007-2009,,1847–1856,,,,,
N,nm0082,34,2006,,1863–1863,S：1987–1988，2003–2014,,,,
N,nm0084,1135,2013-2019,,1866–1868,,,,,
N,nm0085,2299,2005-2009,,1873–1877,U：1990，1998–2014,,,,
N,nm0086,604,2010-2014,,1883–1889,,,,,
N,nm0088,1006,1996-2006,,1892–1923,,,,,
N,nm1019,112,2006-2007,,1928–1928,,,,,
N,nm1025,150,2012-2017,,1939–1942,,,,,
N,nm1032,140,2006-2007,,1949–2021,,,,,
S,sm0071,92,1987-1988,,🪐 S,,,,,
S,sm0086,3169,2004-2014,,1874–2023,,,,,
S,so0027,115,2003-2004,,🪐 U,,,,,
S,so0039,1173,2005-2008,,1787–1832,,,,,
U,um0088,2358,1998-2007,,1837–1837,,,,,
U,um0129,24,1990-1990,,1847–2020,,,,,
U,um0135,1915,2008-2014,,,,,,,
