planet,file,dates,lines(txt),total(html),total(html)-lines(txt),type,observatory
,mjupogal,,0,0,,,no informations
,mjupoinn,,0,0,,,no informations
,mjupoout,,0,0,,,no informations
,mmapomai,,0,0,,,no informations
,mnepoinn,,0,0,,,no informations
,mnepomai,,0,0,,,no informations
,mnepoout,,0,0,,,no informations
,mplpomai,,0,0,,,no informations
,msapoinn,,0,0,,,no informations
,msapomai,,0,0,,,no informations
,msapoout,,0,0,,,no informations
,murpoinn,,0,0,,,no informations
,murpomai,,0,0,,,no informations
,murpoout,,0,0,,,no informations
,abin0000,,0,0,,,no informations
,abin0001,2003-2009,12,12,0,position,"250 - Hubble Space Telescope; 304 - Las Campanas, Chile"
,abin0002,2005-2005,1,1,0,position,250 - Hubble Space Telescope
,abin0003,2006-2008,6,6,0,position,250 - Hubble Space Telescope
,abin0004,2005-2009,8,8,0,position,"250 - Hubble Space Telescope; 568 - Mauna Kea   (W.M. Keck observatory, Hawaii, USA)"
,abin0005,2006-2010,8,8,0,position,"250 - Hubble Space Telescope; 568 - Mauna Kea (W.M. Keck observatory, Hawaii, USA)"
,abin0006,2001 - 2001,16,16,0,position,"304 - Las Campanas, Chile; 568 - Mauna Kea   (W.M. Keck observatory, Hawaii, USA)"
,abin0007,2003-2008,7,7,0,position,250 - Hubble Space Telescope
,abin0008,2001-2007,9,9,0,position,250 - Hubble Space Telescope
,abin0009,2001-2010,14,14,0,position,250 - Hubble Space Telescope
,abin0010,2014-2014,38,38,0,position,"309 - Cerro Paranal ESO, Chile"
,abin0011,2006 - 2008,7,7,0,position,"309 - Cerro Paranal (ESO, Chile); 568 - Mauna Kea (the Keck observatory, Hawaii, USA)"
,abin0012,2001-2001,15,15,0,position,662 - Lick Observatory; 675 - Palomar Mountain
,abin0013,2007-2007,4,4,0,position,511 - Haute Provence
,abin0014,2003-2005,26,26,0,position,"309 - Cerro Paranal (The European Southern Observatory, Paranal, Chile); 568 - Mauna Kea (W.M. Keck observatory, Hawaii, USA)."
,abin0015,2001 - 2006,46,46,0,position,"309 - Cerro Paranal (European Southern Observatory, Chile),; 568 - Mauna Kea (W.M. Keck  observatory, Gemini Observatory, Hawaii, USA),; 662 - Lick Observatory, Mount Hamilton; 675 - Palomar Mountain"
,abin0016,1998 - 2007,34,34,0,position,"309 - Cerro Paranal (European Southern Observatory, Chile),; 568 - Mauna Kea (Keck  observatory, Hawaii, USA),; 568 - Mauna Kea (CFHT)"
,abin0017,2003 - 2006,23,23,0,position,"309 - Cerro Paranal (European Southern Observatory, Chile),; 568 - Mauna Kea (Keck  observatory, Hawaii, USA),; 568 - Mauna Kea (Gemini observatory, Hawaii, USA)"
,abin0018,2003-2006,10,10,0,position,"309 - Cerro Paranal (European Southern Observatory, Chile),; 568 - Mauna Kea (Gemini Observatory, Hawaii, USA)"
,abin0019,2003 - 2006,11,11,0,position,"309 - Cerro Paranal (European Southern Observatory, Chile),; 568 - Mauna Kea (Keck  observatory, Hawaii, USA); 568 - Mauna Kea (Gemini observatory, Hawaii, USA)"
,abin0020,2003 - 2004,25,25,0,position,"309 - Cerro Paranal (European Southern Observatory, Chile),; 568 - Mauna Kea (Gemini Observatory, Hawaii, USA)"
,abin0021,2004 - 2005,25,25,0,position,"309 - Cerro Paranal (European Southern Observatory, Chile)"
,abin0022,2003 - 2006,11,11,0,position,"309 - Cerro Paranal (European Southern Observatory, Chile)"
,abin0023,2003 - 2004,14,14,0,position,"309 - Cerro Paranal (European Southern Observatory, Chile); 568 - Mauna Kea (W.M. Keck observatory, Hawaii, USA)"
,abin0024,1998-2007,44,44,0,position,"309 - Cerro Paranal (European Southern Observatory, Chile); 568 - Mauna Kea (W.M. Keck observatory, the CanadaFranceHawaii Telescope, Hawaii, USA)"
,abin0025,2008-2008,15,15,0,position,"568 - Mauna Kea (W.M.Keck observatory, Hawaii, USA)"
,abin0026,2001-2013,92,92,0,position,"250 - HST; 568 - Mauna Kea (Keck observatory, Gemini observatory); 309 - Cerro Paranal (ESO, Chile)"
,abin0027,2011 - 2011,8,8,0,position,115 - Zelenchukskaya (SAO RAS)
,abin0028,2005-2008,62,62,0,position,"568 - Mauna Kea (W.M.Keck observatory, Hawaii, USA); 250 - Hubble Space Telescope (HST)"
,abin0029,2001-2010,88,88,0,position,"568 - Mauna Kea (CFHT, Gemini Observatory, Hawaii, USA); I11 - Gemini South observatory, Cerro Pachon; 309 - European Southern Observatory (ESO, Chile),; 675 - Palomar Mountain; 695 - Kitt Peak (WIYN Observatory).; 696 - Whipple Observatory, Mt. Hopkins (MMT observatory); 950 - La Palma (4.2-m William Herschel Telescope); 809 - La Silla Observatory"
,abin0030,2001-2011,65,65,0,relative,"309 - Cerro Paranal (European Southern Observatory, Chile); 568 - Mauna Kea (Keck observatory); 250 - HST"
,abin0031,2001 - 2006,18,18,0,position,250 - Hubble Space Telescope
,abin0032,2006-2010,10,10,0,position,"250 - Hubble Space Telescope; 568 - Mauna Kea   (W.M. Keck observatory, Hawaii, USA)"
,abin0033,2009,16,16,0,position,"568 - Mauna Kea   (W.M. Keck observatory, Hawaii, USA)"
,abin0034,2014,2,2,0,position,"568 - Mauna Kea   (W.M. Keck observatory, Hawaii, USA)"
,abin0035,2006-2008,7,7,0,position,250 - Hubble Space Telescope
,abin0036,2011-2011,4,4,0,position,250 - Hubble Space Telescope
,abin0037,2001-2002,4,4,0,position,250 - Hubble Space Telescope
,abin0038,1998-2004,7,7,0,position,"250 - Hubble Space Telescope; 304 - Las Companas, Chile"
,abin0039,2002-2002,2,2,0,position,250 - Hubble Space Telescope
,abin0040,2005-2011,52,52,0,position,"568 - Mauna Kea (CFHT, Gemini Observatory, Hawaii, USA); 695 - Kitt Peak National Observatory, USA"
,abin0041,2006-2006,5,5,0,position,250 - Hubble Space Telescope (HST)
,abin0042,2006-2006,5,5,0,position,250 - Hubble Space Telescope (HST)
,abin0043,2006-2008,6,6,0,position,250 - Hubble Space Telescope (HST)
,abin0044,2006-2007,5,5,0,position,250 - Hubble Space Telescope (HST)
,abin0045,2006-2007,7,7,0,position,250 - Hubble Space Telescope (HST)
,abin0046,2002-2007,7,7,0,position,250 - Hubble Space Telescope (HST)
