[Year],[M],[D],[H],[M],[S],[alpha],[dec]
[1903],[6],[2],[0],[0],[0.00],[23.5342659514],[-4.230034443]
[1903],[6],[3],[0],[0],[0.00],[23.5437341464],[-4.170820313]
[1903],[6],[4],[0],[0],[0.00],[23.5481697871],[-4.150268286]
[1903],[6],[5],[0],[0],[0.00],[23.5591664103],[-4.081318275]
[1903],[6],[6],[0],[0],[0.00],[23.5625697432],[-4.066344965]
[1903],[6],[7],[0],[0],[0.00],[23.5727693488],[-4.004530490]
[1903],[6],[8],[0],[0],[0.00],[23.5774976375],[-3.978567911]
[1903],[6],[9],[0],[0],[0.00],[23.5848523082],[-3.937756972]
[1903],[6],[10],[0],[0],[0.00],[23.5922588326],[-3.892265356]
[1903],[6],[11],[0],[0],[0.00],[23.5963083925],[-3.874412646]
[1903],[6],[12],[0],[0],[0.00],[23.6058700407],[-3.814436168]
[1903],[6],[13],[0],[0],[0.00],[23.6080444022],[-3.808253924]
[1903],[6],[14],[0],[0],[0.00],[23.6176513328],[-3.749527113]
[1903],[6],[15],[0],[0],[0.00],[23.6203730903],[-3.737580385]
[1903],[6],[16],[0],[0],[0.00],[23.6276431067],[-3.696684320]
[1903],[6],[17],[0],[0],[0.00],[23.6328074466],[-3.666357386]
[1903],[6],[18],[0],[0],[0.00],[23.6366052243],[-3.650105799]
[1903],[6],[19],[0],[0],[0.00],[23.6443725748],[-3.601679442]
[1903],[6],[20],[0],[0],[0.00],[23.6455427565],[-3.602684616]
[1903],[6],[21],[0],[0],[0.00],[23.6541966811],[-3.549458868]
[1903],[6],[22],[0],[0],[0.00],[23.6550359692],[-3.550759517]
[1903],[6],[23],[0],[0],[0.00],[23.6620390190],[-3.510821861]
[1903],[6],[24],[0],[0],[0.00],[23.6648549382],[-3.496546918]
[1903],[6],[25],[0],[0],[0.00],[23.6684614423],[-3.481233972]
[1903],[6],[26],[0],[0],[0.00],[23.6741119418],[-3.446680881]
[1903],[6],[27],[0],[0],[0.00],[23.6744919734],[-3.453244781]
[1903],[6],[28],[0],[0],[0.00],[23.6818072115],[-3.408126422]
[1903],[6],[29],[0],[0],[0.00],[23.6809481099],[-3.421406536]
[1903],[6],[30],[0],[0],[0.00],[23.6874334237],[-3.383947096]
[1903],[7],[1],[0],[0],[0.00],[23.6878932989],[-3.385896754]
[1903],[7],[2],[0],[0],[0.00],[23.6913085806],[-3.371250960]
[1903],[7],[3],[0],[0],[0.00],[23.6946038995],[-3.352342445]
[1903],[7],[4],[0],[0],[0.00],[23.6944043646],[-3.362814082]
[1903],[7],[5],[0],[0],[0.00],[23.7000230937],[-3.328288365]
[1903],[7],[6],[0],[0],[0.00],[23.6977179067],[-3.351770591]
[1903],[7],[7],[0],[0],[0.00],[23.7034017672],[-3.318604549]
[1903],[7],[8],[0],[0],[0.00],[23.7016089602],[-3.336179563]
[1903],[7],[9],[0],[0],[0.00],[23.7047746478],[-3.322356188]
[1903],[7],[10],[0],[0],[0.00],[23.7055744922],[-3.320220092]
[1903],[7],[11],[0],[0],[0.00],[23.7049728538],[-3.333143097]
[1903],[7],[12],[0],[0],[0.00],[23.7085728921],[-3.311502430]
[1903],[7],[13],[0],[0],[0.00],[23.7050988255],[-3.343166612]
[1903],[7],[14],[0],[0],[0.00],[23.7096588436],[-3.316413144]
[1903],[7],[15],[0],[0],[0.00],[23.7057941789],[-3.348410431]
[1903],[7],[16],[0],[0],[0.00],[23.7085726450],[-3.336100472]
[1903],[7],[17],[0],[0],[0.00],[23.7068265039],[-3.351209495]
[1903],[7],[18],[0],[0],[0.00],[23.7059381204],[-3.365488153]
[1903],[7],[19],[0],[0],[0.00],[23.7072491445],[-3.358670567]
[1903],[7],[20],[0],[0],[0.00],[23.7028839701],[-3.396389722]
[1903],[7],[21],[0],[0],[0.00],[23.7059848373],[-3.378275438]
[1903],[7],[22],[0],[0],[0.00],[23.7002993081],[-3.422910029]
[1903],[7],[23],[0],[0],[0.00],[23.7024918483],[-3.413223066]
[1903],[7],[24],[0],[0],[0.00],[23.6982551725],[-3.445264005]
[1903],[7],[25],[0],[0],[0.00],[23.6971370387],[-3.460160572]
