Year  M  D   H  M  S       alpha              dec
1903  6  2   0  0  0.00    23.5309310324      -4.251286996  
1903  6  3   0  0  0.00    23.5421830833      -4.179995585  
1903  6  4   0  0  0.00    23.5535048886      -4.110000376  
1903  6  5   0  0  0.00    23.5621118878      -4.060612282  
1903  6  6   0  0  0.00    23.5670522582      -4.037103836  
1903  6  7   0  0  0.00    23.5698946127      -4.026866705  
1903  6  8   0  0  0.00    23.5736244622      -4.008319999  
1903  6  9   0  0  0.00    23.5805009146      -3.966436721  
1903  6 10   0  0  0.00    23.5904026743      -3.903766697  
1903  6 11   0  0  0.00    23.6009011839      -3.838700303  
1903  6 12   0  0  0.00    23.6090162839      -3.792179011  
1903  6 13   0  0  0.00    23.6133541864      -3.772650489  
1903  6 14   0  0  0.00    23.6151109535      -3.769952971  
1903  6 15   0  0  0.00    23.6172400417      -3.762435959  
1903  6 16   0  0  0.00    23.6223341153      -3.732525875  
1903  6 17   0  0  0.00    23.6307292407      -3.679595557  
1903  6 18   0  0  0.00    23.6402463409      -3.620526577  
1903  6 19   0  0  0.00    23.6477668563      -3.577508839  
1903  6 20   0  0  0.00    23.6514723602      -3.562087472  
1903  6 21   0  0  0.00    23.6521519109      -3.566828177  
1903  6 22   0  0  0.00    23.6526621427      -3.570471545  
1903  6 23   0  0  0.00    23.6558824466      -3.553192675  
1903  6 24   0  0  0.00    23.6626126701      -3.511094189  
1903  6 25   0  0  0.00    23.6709787120      -3.459133573  
1903  6 26   0  0  0.00    23.6777867632      -3.420320168  
1903  6 27   0  0  0.00    23.6808180588      -3.409169218  
1903  6 28   0  0  0.00    23.6804266918      -3.421212721  
1903  6 29   0  0  0.00    23.6793124535      -3.436016734  
1903  6 30   0  0  0.00    23.6805902338      -3.431838559  
1903  7  1   0  0  0.00    23.6855213030      -3.401482515  
1903  7  2   0  0  0.00    23.6925835766      -3.357622128  
1903  7  3   0  0  0.00    23.6985709175      -3.323650496  
1903  7  4   0  0  0.00    23.7008998475      -3.316840955  
1903  7  5   0  0  0.00    23.6994706638      -3.335869079  
1903  7  6   0  0  0.00    23.6967652118      -3.361574458  
1903  7  7   0  0  0.00    23.6960751037      -3.370686549  
1903  7  8   0  0  0.00    23.6991101066      -3.352753710  
1903  7  9   0  0  0.00    23.7047418284      -3.317834948  
1903  7 10   0  0  0.00    23.7098145994      -3.289263846  
1903  7 11   0  0  0.00    23.7114202860      -3.286822494  
1903  7 12   0  0  0.00    23.7089948061      -3.312448291  
1903  7 13   0  0  0.00    23.7047469391      -3.348666182  
1903  7 14   0  0  0.00    23.7020858344      -3.371078848  
1903  7 15   0  0  0.00    23.7031476239      -3.366091312  
1903  7 16   0  0  0.00    23.7072287104      -3.340889025  
1903  7 17   0  0  0.00    23.7112881138      -3.318284031  
1903  7 18   0  0  0.00    23.7121426883      -3.320245565  
1903  7 19   0  0  0.00    23.7087637855      -3.352021360  
1903  7 20   0  0  0.00    23.7030367108      -3.398208457  
1903  7 21   0  0  0.00    23.6984241335      -3.433726387  
1903  7 22   0  0  0.00    23.6974599171      -3.441998524  
1903  7 23   0  0  0.00    23.6998904614      -3.427117112  
1903  7 24   0  0  0.00    23.7028496328      -3.410933588  
1903  7 25   0  0  0.00    23.7029340653      -3.417240524  
1903  7 26   0  0  0.00    23.6986595747      -3.454578081  
1903  7 27   0  0  0.00    23.6915469532      -3.509943085  
1903  7 28   0  0  0.00    23.6850505299      -3.558012803  
1903  7 29   0  0  0.00    23.6820617521      -3.579480380  
1903  7 30   0  0  0.00    23.6827906470      -3.575203731  
1903  7 31   0  0  0.00    23.6846048220      -3.565633326  
1903  8  1   0  0  0.00    23.6839411335      -3.575972202  
1903  8  2   0  0  0.00    23.6788769855      -3.617975507  
1903  8  3   0  0  0.00    23.6705304317      -3.681350845  
1903  8  4   0  0  0.00    23.6622833439      -3.740994377  
1903  8  5   0  0  0.00    23.6573385375      -3.775165875  
1903  8  6   0  0  0.00    23.6563737535      -3.781412930  
1903  8  7   0  0  0.00    23.6570427971      -3.778380763  
1903  8  8   0  0  0.00    23.6556828964      -3.792260442  
1903  8  9   0  0  0.00    23.6499601772      -3.837865749  
1903  8 10   0  0  0.00    23.6405648854      -3.907836803  
1903  8 11   0  0  0.00    23.6307430796      -3.977758126  
1903  8 12   0  0  0.00    23.6239542014      -4.023823946  
1903  8 13   0  0  0.00    23.6213387920      -4.040260314  
1903  8 14   0  0  0.00    23.6208859486      -4.043522009  
1903  8 15   0  0  0.00    23.6188994766      -4.060315359  
1903  8 16   0  0  0.00    23.6126681185      -4.108304757  
1903  8 17   0  0  0.00    23.6024356399      -4.183241294  
1903  8 18   0  0  0.00    23.5912544123      -4.261836577  
1903  8 19   0  0  0.00    23.5827822030      -4.318622868  
1903  8 20   0  0  0.00    23.5786088795      -4.344561248  
1903  8 21   0  0  0.00    23.5770986741      -4.353593635  
1903  8 22   0  0  0.00    23.5745869096      -4.372467151  
1903  8 23   0  0  0.00    23.5680311735      -4.421393060  
1903  8 24   0  0  0.00    23.5572214851      -4.499334142  
1903  8 25   0  0  0.00    23.5449597394      -4.584570610  
1903  8 26   0  0  0.00    23.5350376441      -4.650429856  
1903  8 27   0  0  0.00    23.5294712620      -4.684736622  
1903  8 28   0  0  0.00    23.5270346080      -4.698630973  
1903  8 29   0  0  0.00    23.5241585233      -4.718424929  
1903  8 30   0  0  0.00    23.5175182822      -4.766543642  
1903  8 31   0  0  0.00    23.5064490960      -4.845210020  
1903  9  1   0  0  0.00    23.4934496276      -4.934685953  
1903  9  2   0  0  0.00    23.4823797711      -5.007566093  
1903  9  3   0  0  0.00    23.4756479436      -5.048748694  
1903  9  4   0  0  0.00    23.4724600121      -5.066370039  
1903  9  5   0  0  0.00    23.4694064001      -5.085820976  
1903  9  6   0  0  0.00    23.4629379295      -5.131334770  
1903  9  7   0  0  0.00    23.4519442424      -5.208367822  
1903  9  8   0  0  0.00    23.4385735840      -5.299540813  
1903  9  9   0  0  0.00    23.4266845159      -5.377222580  
1903  9 10   0  0  0.00    23.4190390850      -5.423637293  
1903  9 11   0  0  0.00    23.4152923231      -5.443755085  
1903  9 12   0  0  0.00    23.4122539798      -5.461591002  
1903  9 13   0  0  0.00    23.4062120306      -5.502748635  
1903  9 14   0  0  0.00    23.3956280309      -5.575825363  
1903  9 15   0  0  0.00    23.3822620429      -5.666110054  
1903  9 16   0  0  0.00    23.3699051343      -5.746236453  
1903  9 17   0  0  0.00    23.3616236710      -5.796091355  
1903  9 18   0  0  0.00    23.3575280514      -5.817398540  
1903  9 19   0  0  0.00    23.3547060238      -5.832349705  
1903  9 20   0  0  0.00    23.3493504461      -5.867434656  
1903  9 21   0  0  0.00    23.3395208067      -5.934235503  
1903  9 22   0  0  0.00    23.3265553600      -6.020987435  
1903  9 23   0  0  0.00    23.3141113366      -6.101080905  
1903  9 24   0  0  0.00    23.3055060655      -6.152433700  
1903  9 25   0  0  0.00    23.3013026295      -6.173511075  
1903  9 26   0  0  0.00    23.2989180296      -6.184287262  
1903  9 27   0  0  0.00    23.2945145125      -6.211671213  
1903  9 28   0  0  0.00    23.2857828940      -6.270009479  
1903  9 29   0  0  0.00    23.2736174766      -6.350671504  
1903  9 30   0  0  0.00    23.2614750288      -6.428295977  
1903 10  1   0  0  0.00    23.2528613553      -6.479263905  
1903 10  2   0  0  0.00    23.2487802399      -6.498835693  
1903 10  3   0  0  0.00    23.2470247534      -6.504409325  
1903 10  4   0  0  0.00    23.2437961551      -6.522812266  
1903 10  5   0  0  0.00    23.2364562777      -6.570889578  
1903 10  6   0  0  0.00    23.2254404740      -6.643278048  
1903 10  7   0  0  0.00    23.2139461262      -6.716299464  
1903 10  8   0  0  0.00    23.2056043564      -6.765238291  
1903 10  9   0  0  0.00    23.2018402152      -6.782264646  
1903 10 10   0  0  0.00    23.2008597563      -6.781918479  
1903 10 11   0  0  0.00    23.1989699411      -6.790467461  
1903 10 12   0  0  0.00    23.1932545317      -6.826908009  
1903 10 13   0  0  0.00    23.1836867031      -6.889193230  
1903 10 14   0  0  0.00    23.1731485541      -6.955740612  
1903 10 15   0  0  0.00    23.1653291949      -7.001207674  
1903 10 16   0  0  0.00    23.1620472734      -7.014848163  
1903 10 17   0  0  0.00    23.1619534312      -7.008103737  
1903 10 18   0  0  0.00    23.1615255806      -7.006219792  
1903 10 19   0  0  0.00    23.1576233314      -7.029977015  
1903 10 20   0  0  0.00    23.1497627012      -7.080631365  
1903 10 21   0  0  0.00    23.1404614581      -7.139056690  
1903 10 22   0  0  0.00    23.1334005266      -7.179743054  
1903 10 23   0  0  0.00    23.1307538843      -7.189275409  
1903 10 24   0  0  0.00    23.1316336648      -7.175858305  
1903 10 25   0  0  0.00    23.1327506736      -7.163272722  
1903 10 26   0  0  0.00    23.1308006903      -7.173669551  
1903 10 27   0  0  0.00    23.1248566314      -7.211528733  
1903 10 28   0  0  0.00    23.1170289608      -7.260494478  
1903 10 29   0  0  0.00    23.1109211157      -7.295366951  
1903 10 30   0  0  0.00    23.1090187785      -7.300344468  
1903 10 31   0  0  0.00    23.1109061695      -7.280300631  
1903 11  1   0  0  0.00    23.1135831724      -7.257154254  
1903 11  2   0  0  0.00    23.1136449861      -7.253995352  
1903 11  3   0  0  0.00    23.1097454200      -7.278380714  
1903 11  4   0  0  0.00    23.1035567576      -7.316956857  
1903 11  5   0  0  0.00    23.0985414514      -7.345276007  
1903 11  6   0  0  0.00    23.0974439902      -7.345499373  
1903 11  7   0  0  0.00    23.1003190497      -7.319158577  
1903 11  8   0  0  0.00    23.1045080080      -7.285937474  
1903 11  9   0  0  0.00    23.1065737072      -7.269401443  
1903 11 10   0  0  0.00    23.1047840206      -7.279977227  
1903 11 11   0  0  0.00    23.1003489895      -7.307502886  
1903 11 12   0  0  0.00    23.0965291200      -7.328709442  
1903 11 13   0  0  0.00    23.0962721092      -7.324089288  
1903 11 14   0  0  0.00    23.1000923318      -7.291883248  
1903 11 15   0  0  0.00    23.1057168311      -7.249221946  
1903 11 16   0  0  0.00    23.1097410308      -7.219703623  
1903 11 17   0  0  0.00    23.1100886463      -7.216357815  
1903 11 18   0  0  0.00    23.1074968483      -7.232313087  
1903 11 19   0  0  0.00    23.1049652882      -7.245896653  
1903 11 20   0  0  0.00    23.1055803903      -7.236360378  
1903 11 21   0  0  0.00    23.1102938353      -7.198776880  
1903 11 22   0  0  0.00    23.1172541833      -7.147454091  
1903 11 23   0  0  0.00    23.1231561005      -7.105563652  
1903 11 24   0  0  0.00    23.1256260605      -7.088435269  
1903 11 25   0  0  0.00    23.1249249170      -7.092539807  
1903 11 26   0  0  0.00    23.1237403407      -7.098168183  
1903 11 27   0  0  0.00    23.1252328638      -7.083764432  
