[Year],[M],[D],[H],[M],[S],[alpha],[dec]
[1920],[11],[30],[0],[0],[0.00],[9.1452181561],[16.472846166]
[1920],[12],[1],[0],[0],[0.00],[9.1446823408],[16.475427041]
[1920],[12],[2],[0],[0],[0.00],[9.1441109165],[16.478163514]
[1920],[12],[3],[0],[0],[0.00],[9.1435040624],[16.481054686]
[1920],[12],[4],[0],[0],[0.00],[9.1428619783],[16.484099540]
[1920],[12],[5],[0],[0],[0.00],[9.1421848865],[16.487296949]
[1920],[12],[6],[0],[0],[0.00],[9.1414730325],[16.490645672]
[1920],[12],[7],[0],[0],[0.00],[9.1407266852],[16.494144360]
[1920],[12],[8],[0],[0],[0.00],[9.1399461368],[16.497791562]
[1920],[12],[9],[0],[0],[0.00],[9.1391317020],[16.501585728]
[1920],[12],[10],[0],[0],[0.00],[9.1382837174],[16.505525210]
[1920],[12],[11],[0],[0],[0.00],[9.1374025406],[16.509608273]
[1920],[12],[12],[0],[0],[0.00],[9.1364885487],[16.513833101]
[1920],[12],[13],[0],[0],[0.00],[9.1355421374],[16.518197806]
[1920],[12],[14],[0],[0],[0.00],[9.1345637198],[16.522700434]
[1920],[12],[15],[0],[0],[0.00],[9.1335537249],[16.527338968]
[1920],[12],[16],[0],[0],[0.00],[9.1325125968],[16.532111332]
[1920],[12],[17],[0],[0],[0.00],[9.1314407935],[16.537015397]
[1920],[12],[18],[0],[0],[0.00],[9.1303387862],[16.542048985]
[1920],[12],[19],[0],[0],[0.00],[9.1292070577],[16.547209883]
[1920],[12],[20],[0],[0],[0.00],[9.1280461014],[16.552495843]
[1920],[12],[21],[0],[0],[0.00],[9.1268564188],[16.557904590]
[1920],[12],[22],[0],[0],[0.00],[9.1256385171],[16.563433837]
[1920],[12],[23],[0],[0],[0.00],[9.1243929049],[16.569081295]
[1920],[12],[24],[0],[0],[0.00],[9.1231200891],[16.574844694]
[1920],[12],[25],[0],[0],[0.00],[9.1218205710],[16.580721786]
[1920],[12],[26],[0],[0],[0.00],[9.1204948451],[16.586710344]
[1920],[12],[27],[0],[0],[0.00],[9.1191434012],[16.592808142]
[1920],[12],[28],[0],[0],[0.00],[9.1177667287],[16.599012929]
[1920],[12],[29],[0],[0],[0.00],[9.1163653237],[16.605322394]
[1920],[12],[30],[0],[0],[0.00],[9.1149396955],[16.611734150]
[1920],[12],[31],[0],[0],[0.00],[9.1134903715],[16.618245714]
[1921],[1],[1],[0],[0],[0.00],[9.1120179003],[16.624854501]
