Time,Alpha_1,Delta_1,Alpha_2,Delta_2,RA_Residual,Dec_Residual
1920-11-30,9.1525448574,16.427298128,9.1525450747,16.427301374,0.011255202296252672,0.011685599994848417
1920-12-01,9.1521090424,16.432265775,9.1521090175,16.432263353,-0.001289679498422171,-0.008719200005202765
1920-12-02,9.1513597563,16.438575118,9.1513595152,16.438569537,-0.012487214692993045,-0.020091599999716436
1920-12-03,9.1504851235,16.442491904,9.1504849164,16.442488959,-0.010726047215835975,-0.010602000007509105
1920-12-04,9.1497664241,16.442927502,9.1497664661,16.442930256,0.002175243804274904,0.009914400001775903
1920-12-05,9.1492862221,16.442571992,9.1492864698,16.442577589,0.01282878222405345,0.020149199991692512
1920-12-06,9.1488424971,16.445102080,9.1488426933,16.445104709,0.010161381830194629,0.009464399990122274
1920-12-07,9.1481584919,16.451359771,9.1481584329,16.451356697,-0.0030555667269345087,-0.011066399994774656
1920-12-08,9.1471704153,16.458474374,9.1471701623,16.458468784,-0.013102203979553808,-0.020124000002397224
1920-12-09,9.1460941925,16.462840443,9.1460940082,16.462838141,-0.009544196915671512,-0.008287200007828233
1920-12-10,9.1452019039,16.463860225,9.1452019797,16.463863608,0.003925373391006918,0.01217879999728666
1920-12-11,9.1445395564,16.464566347,9.1445398136,16.464571905,0.013319292479452323,0.020008799992865534
1920-12-12,9.1438793085,16.468472613,9.1438794801,16.468474576,0.008886254010862769,0.007066799996380269
1920-12-13,9.1429562901,16.475921089,9.1429561979,16.475917413,-0.004774365567219659,-0.013233599995032819
1920-12-14,9.1417440933,16.483723168,9.1417438331,16.483717665,-0.01347331747706745,-0.01981080000206248
1920-12-15,9.1404828566,16.488467331,9.1404826986,16.488465717,-0.008181137598117845,-0.00581039999474342
1920-12-16,9.1394306749,16.490060020,9.1394307831,16.490063976,0.005602479755662451,0.014241599988906728
1920-12-17,9.1385959565,16.491824131,9.1385962186,16.491829553,0.013571132722728705,0.019519199990725156
1920-12-18,9.1377288003,16.497047217,9.1377289442,16.497048474,0.007450718332439799,0.004525200003513419
1920-12-19,9.1365808414,16.505563171,9.1365807178,16.505558953,-0.0063993624202473695,-0.01518479999020883
1920-12-20,9.1351636961,16.513921154,9.1351634335,16.513915836,-0.013595468346627244,-0.01914479999811647
1920-12-21,9.1337376706,16.518965523,9.1337375416,16.518964629,-0.006678483019335659,-0.003218399997706456
1920-12-22,9.1325422893,16.521110959,9.1325424278,16.521115422,0.007170229696271655,0.01606679999923699
1920-12-23,9.1315479521,16.523912669,9.1315482143,16.523917858,0.013574057383580921,0.018680399998061148
1920-12-24,9.1304868443,16.530372494,9.1304869579,16.530373020,0.005880859407959003,0.0018935999904101664
1920-12-25,9.1291314374,16.539817410,9.1291312847,16.539812722,-0.007904606356195073,-0.016876800002307846
1920-12-26,9.1275313205,16.548595287,9.1275310601,16.548590249,-0.013479147398453165,-0.01813680000424256
1920-12-27,9.1259625077,16.553863947,9.1259624099,16.553863793,-0.005062306497261639,-0.0005543999947121847
1920-12-28,9.1246416281,16.556540947,9.1246417943,16.556545842,0.00860269583523977,0.017622000000017124
1920-12-29,9.1235013096,16.560351142,9.1235015672,16.560356006,0.013333397195381671,0.017510400003573068
1920-12-30,9.1222603308,16.567955984,9.1222604123,16.567955765,0.004218280154632238,-0.0007884000012836623
1920-12-31,9.1207160698,16.578185730,9.1207158908,16.578180650,-0.009264196738820686,-0.018288000003963134
1921-01-01,9.1189555078,16.587251196,9.1189552543,16.587246527,-0.013119347655348368,-0.016808399996648404
1921-01-02,9.1172657852,16.592674835,9.1172657203,16.592675427,-0.003358665273796365,0.0021311999972795093
1921-01-03,9.1158368866,16.595861504,9.1158370775,16.595866748,0.009879176777295941,0.018878400001653972
1921-01-04,9.1145647583,16.600638979,9.1145650067,16.600643432,0.012854512907745424,0.016030799996258338
1921-01-05,9.1131596918,16.609279389,9.1131597398,16.609278425,0.0024838521730850276,-0.00347040000576726
1921-01-06,9.1114477176,16.620135685,9.1114475157,16.620130301,-0.010447112464689406,-0.01938240000498581
1921-01-07,9.1095519827,16.629348872,9.1095517407,16.629344656,-0.01252144532973843,-0.015177600002402869
1921-01-08,9.1077658893,16.634851077,9.1077658582,16.634852410,-0.0016091147462160965,0.004798800000571646
1921-01-09,9.1062493535,16.638510440,9.1062495654,16.638515942,0.010963502183971742,0.019807200001764613
1921-01-10,9.1048632307,16.644189557,9.1048634654,16.644193518,0.012142792505160685,0.014259600003185824
1921-01-11,9.1033142691,16.653730142,9.1033142831,16.653728446,0.000724288976302995,-0.006105600006378609
1921-01-12,9.1014602795,16.665036753,9.1014600585,16.665031158,-0.011432744137516913,-0.020141999991096782
1921-01-13,9.0994586006,16.674249641,9.0994583742,16.674245954,-0.01171153247247054,-0.013273199998309337
1921-01-14,9.0976038181,16.679748295,9.0976038212,16.679750348,0.00016035649173065856,0.00739079999760861
1921-01-15,9.0960228196,16.683831501,9.0960230486,16.683837166,0.011845435243803912,0.020393999999157586
1921-01-16,9.0945435614,16.690327857,9.0945437785,16.690331253,0.011229504783151545,0.01222560000115891
1921-01-17,9.0928742673,16.700615566,9.0928742473,16.700613165,-0.001034444953800438,-0.008643599998947593
1921-01-18,9.0909071028,16.712188117,9.0909068668,16.712182408,-0.012205710580614728,-0.02055239999947389
1921-01-19,9.0888309997,16.721254118,9.0888307929,16.721251026,-0.010695004289559367,-0.011131200000136232
1921-01-20,9.0869365865,16.726669781,9.0869366233,16.726672520,0.0019031188228626058,0.009860400010097692
1921-01-21,9.0853153101,16.731123862,9.0853155519,16.731129591,0.012504439853044036,0.02062439999264143
1921-01-22,9.0837649896,16.738342811,9.0837651854,16.738345582,0.010125213276873534,0.009975600006839613
1921-01-23,9.0820003147,16.749216966,9.0820002613,16.749213900,-0.002761264177983103,-0.011037599992391733
1921-01-24,9.0799497585,16.760873750,9.0799495119,16.760868027,-0.01275067465600619,-0.020602799990854237
1921-01-25,9.0778306584,16.769657866,9.0778304746,16.769655428,-0.009503105281205307,-0.008776799997178841
1921-01-26,9.0759245965,16.774922499,9.0759246660,16.774925880,0.0035932945246538906,0.012171600009480699
1921-01-27,9.0742858301,16.779698103,9.0742860804,16.779703795,0.012940705289721535,0.02049119999441018
1921-01-28,9.0726854453,16.787542296,9.0726856165,16.787544390,0.008850808055656615,0.00753839999703132
1921-01-29,9.0708496371,16.798841656,9.0708495518,16.798837976,-0.004409631981721257,-0.01324799999622428
1921-01-30,9.0687446827,16.810408528,9.0687444298,16.810402892,-0.013073012155044257,-0.02028960000330926
1921-01-31,9.0666128130,16.818788046,9.0666126551,16.818786305,-0.008161871892758105,-0.0062676000069927795
1921-02-01,9.0647217940,16.823840733,9.0647218946,16.823844697,0.0051998886267482,0.01427039999128965
1921-02-02,9.0630877360,16.828883881,9.0630879903,16.828889436,0.013144100250402958,0.019998000004761707
1921-02-03,9.0614589549,16.837242913,9.0614590988,16.837244292,0.00743748539525473,0.004964400001483682
1921-02-04,9.0595779940,16.848794528,9.0595778786,16.848790297,-0.005964096072202778,-0.01523159999408108
1921-02-05,9.0574496742,16.860093314,9.0574494196,16.860087865,-0.013157436473771137,-0.01961639999876752
1921-02-06,9.0553370059,16.867946038,9.0553368765,16.867945027,-0.006686965967140633,-0.0036395999941873924
1921-02-07,9.0534892256,16.872722236,9.0534893552,16.872726715,0.006697132006009066,0.016124399991213068
1921-02-08,9.0518838508,16.877966689,9.0518841046,16.877972009,0.013114852659284014,0.0191519999987122
1921-02-09,9.0502506725,16.886714296,9.0502507871,16.886714935,0.005921562110144971,0.002300399998489411
1921-02-10,9.0483530495,16.898335565,9.0483529063,16.898330858,-0.007398913351819814,-0.016945199995177518
1921-02-11,9.0462343357,16.909189366,9.0462340839,16.909184198,-0.013009351514577277,-0.018604800004595745
1921-02-12,9.0441737882,16.916400209,9.0441736890,16.916399946,-0.005125013023445417,-0.0009468000015999678
1921-02-13,9.0423977027,16.920838833,9.0423978587,16.920843749,0.008059306360436341,0.017697599993482527
1921-02-14,9.0408452470,16.926214133,9.0408454958,16.926219124,0.012853193560579372,0.017967600003032658
1921-02-15,9.0392322775,16.935217773,9.0392323611,16.935217658,0.004318631763639066,-0.0004140000086749751
1921-02-16,9.0373470686,16.946727104,9.0373469005,16.946722002,-0.00868322474782468,-0.018367199997726402
1921-02-17,9.0352707917,16.956970620,9.0352705469,16.956965826,-0.012644482873491989,-0.017258399995512264
1921-02-18,9.0332940918,16.963440556,9.0332940242,16.963441047,-0.0034915751929422874,0.001767600005564418
1921-02-19,9.0316162920,16.967491832,9.0316164713,16.967497099,0.009260738482952528,0.018961199995715106
1921-02-20,9.0301391276,16.972931383,9.0301393674,16.972935958,0.012385168814398082,0.01647000000701837
1921-02-21,9.0285693688,16.982061490,9.0285694203,16.982060625,0.00265973799837392,-0.0031140000018581304
1921-02-22,9.0267238786,16.993288222,9.0267236889,16.993282814,-0.00979654541871428,-0.01946879999934481
1921-02-23,9.0247202864,17.002776749,9.0247200527,17.002772412,-0.012068195920503568,-0.015613200000075267
1921-02-24,9.0228556212,17.008429518,9.0228555859,17.008430754,-0.001822826079106611,0.004449599997258247
1921-02-25,9.0212987877,17.012059294,9.0212989870,17.012064819,0.010291280571772777,0.019889999995825747
1921-02-26,9.0199158287,17.017502989,9.0199160553,17.017507067,0.011700634033646537,0.01468079999966676
1921-02-27,9.0184096173,17.026634149,9.0184096363,17.026632548,0.0009810291193666082,-0.00576360000366094
1921-02-28,9.0166289435,17.037417309,9.0166287356,17.037411692,-0.010733905197338972,-0.02022119999764982
1921-03-01,9.0147260263,17.046021627,9.0147258076,17.046017824,-0.0112909908510987,-0.013690799994492409
1921-03-02,9.0129992542,17.050794303,9.0129992514,17.050796262,-0.0001445540438643264,0.007052399995188807
1921-03-03,9.0115842465,17.053971586,9.0115844620,17.053977273,0.011125308578981804,0.020473200005710623
1921-03-04,9.0103137017,17.059352679,9.0103139116,17.059356189,0.010835893258193181,0.01263599999674625
1921-03-05,9.0088917590,17.068351786,9.0088917457,17.068349478,-0.0006865671437307199,-0.008308800009615425
1921-03-06,9.0072017499,17.078530210,9.0072015277,17.078524481,-0.011469690508909999,-0.020624400005431198
1921-03-07,9.0054278170,17.086128545,9.0054276167,17.086125341,-0.010338818024957414,-0.011534400007917611
1921-03-08,9.0038644891,17.089965574,9.0038645183,17.089968221,0.0015071756351473353,0.00952919999548385
1921-03-09,9.0026116957,17.092659702,9.0026119236,17.092665450,0.011763025776227296,0.02069279999830087
1921-03-10,9.0014716509,17.097906220,9.0014718408,17.097909102,0.009801385308438553,0.010375200001533358
1921-03-11,9.0001548502,17.106638043,9.0001548053,17.106635070,-0.0023173331394767253,-0.010702800003059565
1921-03-12,8.9985811390,17.116058467,8.9985809064,17.116052727,-0.012004106973707074,-0.020663999995917948
1921-03-13,8.9969633395,17.122545018,8.9969631608,17.122542468,-0.009222094264190425,-0.00918000000496022
1921-03-14,8.9955869728,17.125406068,8.9955870332,17.125409354,0.0031169889155699196,0.011829599993973261
1921-03-15,8.9945145195,17.127594283,8.9945147558,17.127599991,0.01219430160240556,0.020548799999176026
1921-03-16,8.9935211124,17.132637292,8.9935212793,17.132639497,0.008612669153603938,0.007938000004514834
1921-03-17,8.9923285639,17.140973640,8.9923284884,17.140970057,-0.0038959097872137134,-0.012898799992910881
1921-03-18,8.9908945279,17.149499846,8.9908942890,17.149494195,-0.012327021614421108,-0.02034360000777724
1921-03-19,8.9894567308,17.154792761,8.9894565764,17.154790908,-0.007966671723496712,-0.006670800001984389
1921-03-20,8.9882866992,17.156659343,8.9882867893,17.156663209,0.004648898346119233,0.013917600000468155
1921-03-21,8.9874083986,17.158332927,8.9874086393,17.158338496,0.012419308969702255,0.020048399996142052
1921-03-22,8.9865738121,17.163113073,8.9865739535,17.163114565,0.007295575641471261,0.005371199996773157
1921-03-23,8.9855208908,17.170939428,8.9855207866,17.170935298,-0.005376003512604022,-0.014868000002365989
1921-03-24,8.9842458090,17.178457424,8.9842455677,17.178451961,-0.01244891599212884,-0.019666800002937634
1921-03-25,8.9830071025,17.182500937,8.9830069746,17.182499810,-0.006598348987212766,-0.004057200003160233
1921-03-26,8.9820577192,17.183375020,8.9820578371,17.183379396,0.006082421190006733,0.015753599998902246
1921-03-27,8.9813828888,17.184535154,8.9813831297,17.184540488,0.012427871862647715,0.019202400002882314
1921-03-28,8.9807159244,17.188996680,8.9807160383,17.188997436,0.00587588430015164,0.0027216000077601166
1921-03-29,8.9798155431,17.196204465,8.9798154121,17.196199863,-0.0067577777011397985,-0.016567200002270965
