Year  M  D   H  M  S       alpha              dec
1920 11 30   0  0  0.00     9.1525450747      16.427301374  
1920 12  1   0  0  0.00     9.1521090175      16.432263353  
1920 12  2   0  0  0.00     9.1513595152      16.438569537  
1920 12  3   0  0  0.00     9.1504849164      16.442488959  
1920 12  4   0  0  0.00     9.1497664661      16.442930256  
1920 12  5   0  0  0.00     9.1492864698      16.442577589  
1920 12  6   0  0  0.00     9.1488426933      16.445104709  
1920 12  7   0  0  0.00     9.1481584329      16.451356697  
1920 12  8   0  0  0.00     9.1471701623      16.458468784  
1920 12  9   0  0  0.00     9.1460940082      16.462838141  
1920 12 10   0  0  0.00     9.1452019797      16.463863608  
1920 12 11   0  0  0.00     9.1445398136      16.464571905  
1920 12 12   0  0  0.00     9.1438794801      16.468474576  
1920 12 13   0  0  0.00     9.1429561979      16.475917413  
1920 12 14   0  0  0.00     9.1417438331      16.483717665  
1920 12 15   0  0  0.00     9.1404826986      16.488465717  
1920 12 16   0  0  0.00     9.1394307831      16.490063976  
1920 12 17   0  0  0.00     9.1385962186      16.491829553  
1920 12 18   0  0  0.00     9.1377289442      16.497048474  
1920 12 19   0  0  0.00     9.1365807178      16.505558953  
1920 12 20   0  0  0.00     9.1351634335      16.513915836  
1920 12 21   0  0  0.00     9.1337375416      16.518964629  
1920 12 22   0  0  0.00     9.1325424278      16.521115422  
1920 12 23   0  0  0.00     9.1315482143      16.523917858  
1920 12 24   0  0  0.00     9.1304869579      16.530373020  
1920 12 25   0  0  0.00     9.1291312847      16.539812722  
1920 12 26   0  0  0.00     9.1275310601      16.548590249  
1920 12 27   0  0  0.00     9.1259624099      16.553863793  
1920 12 28   0  0  0.00     9.1246417943      16.556545842  
1920 12 29   0  0  0.00     9.1235015672      16.560356006  
1920 12 30   0  0  0.00     9.1222604123      16.567955765  
1920 12 31   0  0  0.00     9.1207158908      16.578180650  
1921  1  1   0  0  0.00     9.1189552543      16.587246527  
1921  1  2   0  0  0.00     9.1172657203      16.592675427  
1921  1  3   0  0  0.00     9.1158370775      16.595866748  
1921  1  4   0  0  0.00     9.1145650067      16.600643432  
1921  1  5   0  0  0.00     9.1131597398      16.609278425  
1921  1  6   0  0  0.00     9.1114475157      16.620130301  
1921  1  7   0  0  0.00     9.1095517407      16.629344656  
1921  1  8   0  0  0.00     9.1077658582      16.634852410  
1921  1  9   0  0  0.00     9.1062495654      16.638515942  
1921  1 10   0  0  0.00     9.1048634654      16.644193518  
1921  1 11   0  0  0.00     9.1033142831      16.653728446  
1921  1 12   0  0  0.00     9.1014600585      16.665031158  
1921  1 13   0  0  0.00     9.0994583742      16.674245954  
1921  1 14   0  0  0.00     9.0976038212      16.679750348  
1921  1 15   0  0  0.00     9.0960230486      16.683837166  
1921  1 16   0  0  0.00     9.0945437785      16.690331253  
1921  1 17   0  0  0.00     9.0928742473      16.700613165  
1921  1 18   0  0  0.00     9.0909068668      16.712182408  
1921  1 19   0  0  0.00     9.0888307929      16.721251026  
1921  1 20   0  0  0.00     9.0869366233      16.726672520  
1921  1 21   0  0  0.00     9.0853155519      16.731129591  
1921  1 22   0  0  0.00     9.0837651854      16.738345582  
1921  1 23   0  0  0.00     9.0820002613      16.749213900  
1921  1 24   0  0  0.00     9.0799495119      16.760868027  
1921  1 25   0  0  0.00     9.0778304746      16.769655428  
1921  1 26   0  0  0.00     9.0759246660      16.774925880  
1921  1 27   0  0  0.00     9.0742860804      16.779703795  
1921  1 28   0  0  0.00     9.0726856165      16.787544390  
1921  1 29   0  0  0.00     9.0708495518      16.798837976  
1921  1 30   0  0  0.00     9.0687444298      16.810402892  
1921  1 31   0  0  0.00     9.0666126551      16.818786305  
1921  2  1   0  0  0.00     9.0647218946      16.823844697  
1921  2  2   0  0  0.00     9.0630879903      16.828889436  
1921  2  3   0  0  0.00     9.0614590988      16.837244292  
1921  2  4   0  0  0.00     9.0595778786      16.848790297  
1921  2  5   0  0  0.00     9.0574494196      16.860087865  
1921  2  6   0  0  0.00     9.0553368765      16.867945027  
1921  2  7   0  0  0.00     9.0534893552      16.872726715  
1921  2  8   0  0  0.00     9.0518841046      16.877972009  
1921  2  9   0  0  0.00     9.0502507871      16.886714935  
1921  2 10   0  0  0.00     9.0483529063      16.898330858  
1921  2 11   0  0  0.00     9.0462340839      16.909184198  
1921  2 12   0  0  0.00     9.0441736890      16.916399946  
1921  2 13   0  0  0.00     9.0423978587      16.920843749  
1921  2 14   0  0  0.00     9.0408454958      16.926219124  
1921  2 15   0  0  0.00     9.0392323611      16.935217658  
1921  2 16   0  0  0.00     9.0373469005      16.946722002  
1921  2 17   0  0  0.00     9.0352705469      16.956965826  
1921  2 18   0  0  0.00     9.0332940242      16.963441047  
1921  2 19   0  0  0.00     9.0316164713      16.967497099  
1921  2 20   0  0  0.00     9.0301393674      16.972935958  
1921  2 21   0  0  0.00     9.0285694203      16.982060625  
1921  2 22   0  0  0.00     9.0267236889      16.993282814  
1921  2 23   0  0  0.00     9.0247200527      17.002772412  
1921  2 24   0  0  0.00     9.0228555859      17.008430754  
1921  2 25   0  0  0.00     9.0212989870      17.012064819  
1921  2 26   0  0  0.00     9.0199160553      17.017507067  
1921  2 27   0  0  0.00     9.0184096363      17.026632548  
1921  2 28   0  0  0.00     9.0166287356      17.037411692  
1921  3  1   0  0  0.00     9.0147258076      17.046017824  
1921  3  2   0  0  0.00     9.0129992514      17.050796262  
1921  3  3   0  0  0.00     9.0115844620      17.053977273  
1921  3  4   0  0  0.00     9.0103139116      17.059356189  
1921  3  5   0  0  0.00     9.0088917457      17.068349478  
1921  3  6   0  0  0.00     9.0072015277      17.078524481  
1921  3  7   0  0  0.00     9.0054276167      17.086125341  
1921  3  8   0  0  0.00     9.0038645183      17.089968221  
1921  3  9   0  0  0.00     9.0026119236      17.092665450  
1921  3 10   0  0  0.00     9.0014718408      17.097909102  
1921  3 11   0  0  0.00     9.0001548053      17.106635070  
1921  3 12   0  0  0.00     8.9985809064      17.116052727  
1921  3 13   0  0  0.00     8.9969631608      17.122542468  
1921  3 14   0  0  0.00     8.9955870332      17.125409354  
1921  3 15   0  0  0.00     8.9945147558      17.127599991  
1921  3 16   0  0  0.00     8.9935212793      17.132639497  
1921  3 17   0  0  0.00     8.9923284884      17.140970057  
1921  3 18   0  0  0.00     8.9908942890      17.149494195  
1921  3 19   0  0  0.00     8.9894565764      17.154790908  
1921  3 20   0  0  0.00     8.9882867893      17.156663209  
1921  3 21   0  0  0.00     8.9874086393      17.158338496  
1921  3 22   0  0  0.00     8.9865739535      17.163114565  
1921  3 23   0  0  0.00     8.9855207866      17.170935298  
1921  3 24   0  0  0.00     8.9842455677      17.178451961  
1921  3 25   0  0  0.00     8.9830069746      17.182499810  
1921  3 26   0  0  0.00     8.9820578371      17.183379396  
1921  3 27   0  0  0.00     8.9813831297      17.184540488  
1921  3 28   0  0  0.00     8.9807160383      17.188997436  
1921  3 29   0  0  0.00     8.9798154121      17.196199863  
1921  3 30   0  0  0.00     8.9787162714      17.202607243  
1921  3 31   0  0  0.00     8.9776936078      17.205363928  
1921  4  1   0  0  0.00     8.9769773381      17.205259336  
1921  4  2   0  0  0.00     8.9765140663      17.205904495  
1921  4  3   0  0  0.00     8.9760229973      17.209980421  
1921  4  4   0  0  0.00     8.9752878570      17.216455782  
1921  4  5   0  0  0.00     8.9743814835      17.221660986  
1921  4  6   0  0  0.00     8.9735903129      17.223096736  
