Year,M,D,H,M,S,alpha,dec
[1900],[1],[1],[0],[0],[0.00],[16.6672541812],[-22.111328132]
[1900],[1],[2],[0],[0],[0.00],[16.6715925591],[-22.122987990]
[1900],[1],[3],[0],[0],[0.00],[16.6752238601],[-22.136435937]
[1900],[1],[4],[0],[0],[0.00],[16.6786420965],[-22.140507650]
[1900],[1],[5],[0],[0],[0.00],[16.6826867406],[-22.141528027]
[1900],[1],[6],[0],[0],[0.00],[16.6869581430],[-22.151529122]
[1900],[1],[7],[0],[0],[0.00],[16.6905642970],[-22.165340482]
[1900],[1],[8],[0],[0],[0.00],[16.6938130738],[-22.170501022]
[1900],[1],[9],[0],[0],[0.00],[16.6976215594],[-22.170673090]
[1900],[1],[10],[0],[0],[0.00],[16.7017900321],[-22.178859658]
[1900],[1],[11],[0],[0],[0.00],[16.7053663318],[-22.192707623]
[1900],[1],[12],[0],[0],[0.00],[16.7084559671],[-22.199037462]
[1900],[1],[13],[0],[0],[0.00],[16.7120104957],[-22.198676718]
[1900],[1],[14],[0],[0],[0.00],[16.7160399463],[-22.204968006]
[1900],[1],[15],[0],[0],[0.00],[16.7195779091],[-22.218507009]
[1900],[1],[16],[0],[0],[0.00],[16.7225204521],[-22.226019212]
[1900],[1],[17],[0],[0],[0.00],[16.7258091266],[-22.225449603]
[1900],[1],[18],[0],[0],[0.00],[16.7296633935],[-22.229841354]
[1900],[1],[19],[0],[0],[0.00],[16.7331494050],[-22.242720202]
[1900],[1],[20],[0],[0],[0.00],[16.7359570899],[-22.251355265]
[1900],[1],[21],[0],[0],[0.00],[16.7389730829],[-22.250894421]
[1900],[1],[22],[0],[0],[0.00],[16.7426165213],[-22.253453636]
[1900],[1],[23],[0],[0],[0.00],[16.7460318087],[-22.265336508]
[1900],[1],[24],[0],[0],[0.00],[16.7487150256],[-22.274967400]
[1900],[1],[25],[0],[0],[0.00],[16.7514567447],[-22.274912277]
[1900],[1],[26],[0],[0],[0.00],[16.7548553556],[-22.275785046]
[1900],[1],[27],[0],[0],[0.00],[16.7581759015],[-22.286363205]
[1900],[1],[28],[0],[0],[0.00],[16.7607430574],[-22.296800139]
[1900],[1],[29],[0],[0],[0.00],[16.7632128597],[-22.297412674]
[1900],[1],[30],[0],[0],[0.00],[16.7663356393],[-22.296802825]
[1900],[1],[31],[0],[0],[0.00],[16.7695329582],[-22.305812642]
[1900],[2],[1],[0],[0],[0.00],[16.7719889672],[-22.316806291]
[1900],[2],[2],[0],[0],[0.00],[16.7741937188],[-22.318297817]
[1900],[2],[3],[0],[0],[0.00],[16.7770139442],[-22.316466592]
[1900],[2],[4],[0],[0],[0.00],[16.7800568662],[-22.323694553]
[1900],[2],[5],[0],[0],[0.00],[16.7824043521],[-22.334954921]
[1900],[2],[6],[0],[0],[0.00],[16.7843553328],[-22.337480051]
[1900],[2],[7],[0],[0],[0.00],[16.7868531899],[-22.334731408]
[1900],[2],[8],[0],[0],[0.00],[16.7897099667],[-22.340037324]
[1900],[2],[9],[0],[0],[0.00],[16.7919488188],[-22.351242112]
[1900],[2],[10],[0],[0],[0.00],[16.7936616877],[-22.354891218]
[1900],[2],[11],[0],[0],[0.00],[16.7958240822],[-22.351555484]
[1900],[2],[12],[0],[0],[0.00],[16.7984628226],[-22.354868476]
[1900],[2],[13],[0],[0],[0.00],[16.8005890637],[-22.365674964]
[1900],[2],[14],[0],[0],[0.00],[16.8020811554],[-22.370465131]
[1900],[2],[15],[0],[0],[0.00],[16.8039012604],[-22.366880673]
[1900],[2],[16],[0],[0],[0.00],[16.8062902048],[-22.368206605]
[1900],[2],[17],[0],[0],[0.00],[16.8082951138],[-22.378269426]
[1900],[2],[18],[0],[0],[0.00],[16.8095840625],[-22.384147799]
[1900],[2],[19],[0],[0],[0.00],[16.8110607192],[-22.380646633]
[1900],[2],[20],[0],[0],[0.00],[16.8131689331],[-22.380070568]
[1900],[2],[21],[0],[0],[0.00],[16.8150385110],[-22.389056211]
[1900],[2],[22],[0],[0],[0.00],[16.8161407036],[-22.395901421]
[1900],[2],[23],[0],[0],[0.00],[16.8172779174],[-22.392794356]
[1900],[2],[24],[0],[0],[0.00],[16.8190767420],[-22.390471274]
[1900],[2],[25],[0],[0],[0.00],[16.8207923028],[-22.398077890]
[1900],[2],[26],[0],[0],[0.00],[16.8217221329],[-22.405698405]
[1900],[2],[27],[0],[0],[0.00],[16.8225293138],[-22.403257041]
[1900],[2],[28],[0],[0],[0.00],[16.8239936077],[-22.399409466]
[1900],[3],[1],[0],[0],[0.00],[16.8255327036],[-22.405374110]
[1900],[3],[2],[0],[0],[0.00],[16.8263023785],[-22.413527041]
[1900],[3],[3],[0],[0],[0.00],[16.8267936601],[-22.411974215]
[1900],[3],[4],[0],[0],[0.00],[16.8279040961],[-22.406877279]
[1900],[3],[5],[0],[0],[0.00],[16.8292422374],[-22.410999550]
[1900],[3],[6],[0],[0],[0.00],[16.8298618809],[-22.419390943]
[1900],[3],[7],[0],[0],[0.00],[16.8300571864],[-22.418890571]
[1900],[3],[8],[0],[0],[0.00],[16.8308014498],[-22.412864708]
[1900],[3],[9],[0],[0],[0.00],[16.8319142245],[-22.415006580]
[1900],[3],[10],[0],[0],[0.00],[16.8323916961],[-22.423316362]
[1900],[3],[11],[0],[0],[0.00],[16.8323150890],[-22.423961713]
[1900],[3],[12],[0],[0],[0.00],[16.8326884742],[-22.417351553]
[1900],[3],[13],[0],[0],[0.00],[16.8335511959],[-22.417454893]
[1900],[3],[14],[0],[0],[0.00],[16.8338902636],[-22.425337451]
[1900],[3],[15],[0],[0],[0.00],[16.8335677534],[-22.427153659]
[1900],[3],[16],[0],[0],[0.00],[16.8335714706],[-22.420312814]
[1900],[3],[17],[0],[0],[0.00],[16.8341597524],[-22.418395374]
[1900],[3],[18],[0],[0],[0.00],[16.8343591682],[-22.425506560]
[1900],[3],[19],[0],[0],[0.00],[16.8338169302],[-22.428441588]
[1900],[3],[20],[0],[0],[0.00],[16.8334583481],[-22.421715600]
[1900],[3],[21],[0],[0],[0.00],[16.8337489379],[-22.417873433]
[1900],[3],[22],[0],[0],[0.00],[16.8338026148],[-22.423880750]
[1900],[3],[23],[0],[0],[0.00],[16.8330659230],[-22.427812738]
[1900],[3],[24],[0],[0],[0.00],[16.8323584063],[-22.421524530]
[1900],[3],[25],[0],[0],[0.00],[16.8323308872],[-22.415929599]
[1900],[3],[26],[0],[0],[0.00],[16.8322283368],[-22.420532474]
[1900],[3],[27],[0],[0],[0.00],[16.8313209603],[-22.425273314]
[1900],[3],[28],[0],[0],[0.00],[16.8302832501],[-22.419705850]
[1900],[3],[29],[0],[0],[0.00],[16.8299216301],[-22.412595305]
[1900],[3],[30],[0],[0],[0.00],[16.8296488671],[-22.415539722]
[1900],[3],[31],[0],[0],[0.00],[16.8285926005],[-22.420841406]
[1900],[4],[1],[0],[0],[0.00],[16.8272496378],[-22.416228614]
[1900],[4],[2],[0],[0],[0.00],[16.8265441440],[-22.407894872]
[1900],[4],[3],[0],[0],[0.00],[16.8260864057],[-22.408982833]
[1900],[4],[4],[0],[0],[0.00],[16.8249016458],[-22.414555876]
[1900],[4],[5],[0],[0],[0.00],[16.8232840578],[-22.411065956]
[1900],[4],[6],[0],[0],[0.00],[16.8222331113],[-22.401847385]
[1900],[4],[7],[0],[0],[0.00],[16.8215749346],[-22.400955571]
[1900],[4],[8],[0],[0],[0.00],[16.8202792844],[-22.406475399]
[1900],[4],[9],[0],[0],[0.00],[16.8184216662],[-22.404213458]
[1900],[4],[10],[0],[0],[0.00],[16.8170300375],[-22.394470857]
[1900],[4],[11],[0],[0],[0.00],[16.8161559170],[-22.391551187]
[1900],[4],[12],[0],[0],[0.00],[16.8147620911],[-22.396677715]
[1900],[4],[13],[0],[0],[0.00],[16.8127004370],[-22.395668563]
[1900],[4],[14],[0],[0],[0.00],[16.8109795509],[-22.385773981]
[1900],[4],[15],[0],[0],[0.00],[16.8098737884],[-22.380858896]
[1900],[4],[16],[0],[0],[0.00],[16.8083897866],[-22.385247980]
[1900],[4],[17],[0],[0],[0.00],[16.8061601967],[-22.385447390]
[1900],[4],[18],[0],[0],[0.00],[16.8041273326],[-22.375760871]
[1900],[4],[19],[0],[0],[0.00],[16.8027757960],[-22.368965734]
[1900],[4],[20],[0],[0],[0.00],[16.8012040799],[-22.372291687]
[1900],[4],[21],[0],[0],[0.00],[16.7988414425],[-22.373581110]
[1900],[4],[22],[0],[0],[0.00],[16.7965198361],[-22.364441947]
[1900],[4],[23],[0],[0],[0.00],[16.7949111507],[-22.355956388]
[1900],[4],[24],[0],[0],[0.00],[16.7932499950],[-22.357926456]
[1900],[4],[25],[0],[0],[0.00],[16.7907876705],[-22.360118995]
[1900],[4],[26],[0],[0],[0.00],[16.7882065559],[-22.351823935]
