planet,file,planetil,dates
J,jo0001,jo0,1998-1998
J,jo0002,jo0,1999-2000
J,jo0003,jo0,1997-1999
J,jo0004,jo0,2000-2000
J,jo0005,jo0,1992-1993
J,jo0006,jo0,1999-1999
J,jo0007,jo0,2001-2001
J,jo0008,jo0,"1993,1998,2001-2002"
J,jo0011,jo0,1952-1952
J,jo0012,jo0,1967-1969
J,jo0013,jo0,1973-1973
J,jo0014,jo0,1989-1990
J,jo0015,jo0,1990-1992
J,jo0016,jo0,1994-1995
J,jo0017,jo0,1990-1992
J,jo0018,jo0,1992-1993
J,jo0019,jo0,2002-2002
J,jo0020,jo0,1980-1981
J,jo0021,jo0,2002-2003
J,jo0022,jo0,1993-2003
J,jo0023,jo0,2003-2003
J,jo0024,jo0,"1998-1998,2002-2002"
J,jo0027,jo0,2003-2003
J,jo0028,jo0,2003-2003
J,jo0029,jo0,"1951,1975-1976"
J,jo0030,jo0,1951-1951
J,jo0031,jo0,1968-1968
J,jo0032,jo0,1968-1968
J,jo0033,jo0,1999-2002
J,jo0034,jo0,2001-2005
J,jo0035,jo0,1986-2005
J,jo0036,jo0,2006-2006
J,jo0037,jo0,2006-2006
J,jo0038,jo0,1995-1998
J,jo0039,jo0,2006-2006
J,jo0040,jo0,2005-2006
J,jo0041,jo0,2007-2007
J,jo0042,jo0,2007-2007
J,jo0043,jo0,2007-2007
J,jo0044,jo0,2007-2007
J,jo0045,jo0,2008-2008
J,jo0046,jo0,2000-2008
J,jo0047,jo0,2008-2009
J,jo0048,jo0,2009-2011
J,jo0049,jo0,2010-2010
J,jo0050,jo0,"1996,2005,2009-2012"
J,jo0051,jo0,2010-2010
J,jo0052,jo0,"1914,1987,2010-2012"
J,jo0053,jo0,2012-2012
J,jo0054,jo0,2010-2015
J,jo0055,jo0,2014-2014
J,jo0056,jo0,1995-2014
J,jo0057,jo0,2013-2015
J,jo0058,jo0,2010-2010
J,jo0059,jo0,2014-2016
J,jo0060,jo0,2015-2016
J,jo0061,jo0,1906-1907
J,jo0062,jo0,2015-2018
J,jo0063,jo0,2017
J,jo0064,jo0,2017-2018
J,jo0065,jo0,"2011,2013,2017-2019"
J,jo0066,jo0,1987-1993
J,jo0067,jo0,2017-2019
J,jo0068,jo0,2020
J,jo0069,jo0,2014-2017
J,jo0070,jo0,"1986,2005-2022"
J,jo0071,jo0,2020-2021
J,jo0072,jo0,2016-2018
J,jo0073,jo0,2016-2018
J,jo0074,jo0,"1986,2006-2022"
J,jo0075,jo0,2010-2022
J,jo0076,jo0,2017
J,jo0077,jo0,2014-2019
J,jo0078,jo0,2015-2021
N,nm0001,nm0,2001-2001
N,nm0002,nm0,2001-2001
N,nm0003,nm0,1989-1994
N,nm0004,nm0,1995-1997
N,nm0005,nm0,1999-1999
N,nm0006,nm0,1999-1999
N,nm0007,nm0,1998-1999
N,nm0008,nm0,1984-1986
N,nm0009,nm0,1975-1977
N,nm0010,nm0,1979-1983
N,nm0011,nm0,1877-1877
N,nm0012,nm0,2001-2005
N,nm0013,nm0,2000-2002
N,nm0014,nm0,2005-2006
N,nm0016,nm0,1990-1990
N,nm0017,nm0,1986-1993
N,nm0018,nm0,1995-2007
N,nm0020,nm0,1970
N,nm0021,nm0,1875-1877
N,nm0022,nm0,1899-1901
N,nm0025,nm0,1939
N,nm0026,nm0,1940-1942
N,nm0027,nm0,1866-1868
N,nm0028,nm0,1883-1888
N,nm0029,nm0,1889
N,nm0030,nm0,1894-1897
N,nm0031,nm0,1896-1897
N,nm0032,nm0,1898-1898
N,nm0033,nm0,1897-1899
N,nm0034,nm0,"1898-1899,1901-1902"
N,nm0035,nm0,1898-1900
N,nm0036,nm0,1899-1900
N,nm0037,nm0,1904-1908
N,nm0039,nm0,1902-1903
N,nm0040,nm0,1903-1908
N,nm0041,nm0,1903-1922
N,nm0042,nm0,1847
N,nm0043,nm0,1908-1910
N,nm0044,nm0,1911
N,nm0045,nm0,"1912-1913,1918-1919"
N,nm0046,nm0,
N,nm0047,nm0,1920-1920
N,nm0048,nm0,1883-1884
N,nm0050,nm0,1848
N,nm0051,nm0,1847
N,nm0052,nm0,1849-1849
N,nm0053,nm0,"1849-1852,1856"
N,nm0054,nm0,1863
N,nm0055,nm0,1874
N,nm0056,nm0,1873
N,nm0057,nm0,1885-1886
N,nm0058,nm0,1899
N,nm0059,nm0,1896-1898
N,nm0060,nm0,1905-1906
N,nm0061,nm0,1905
N,nm0062,nm0,1894-1906
N,nm0063,nm0,1911-1912
N,nm0064,nm0,1909-1910
N,nm0065,nm0,1899-1920
N,nm0068,nm0,1892-1895
N,nm0069,nm0,1899-1901
N,nm0070,nm0,1923
N,nm0071,nm0,1884-1884
N,nm0072,nm0,1902-1903
N,nm0073,nm0,1886-1887
N,nm0074,nm0,1903-1905
N,nm0075,nm0,1928-1928
N,nm0076,nm0,1901-1903
N,nm0077,nm0,2000-2012
N,nm0078,nm0,2013-2014
N,nm0079,nm0,2001-2012
N,nm0080,nm0,"1899-1900,1902,1907"
N,nm0081,nm0,2014-2016
N,nm0083,nm0,1963-1990
N,nm0087,nm0,2014-2017
N,nm0089,nm0,2014-2019
N,nm1001,nm1,1993-1998
N,nm1002,nm1,1993-1998
N,nm1003,nm1,2001-2001
N,nm1004,nm1,2002-2002
N,nm1005,nm1,1949-1949
N,nm1006,nm1,1949-1969
N,nm1007,nm1,1977-1984
