[Year],[M],[D],[H],[M],[S],[alpha],[dec]
[1903],[6],[2],[0],[0],[0.00],[23.5309309644],[-4.251291069]
[1903],[6],[3],[0],[0],[0.00],[23.5421825913],[-4.179992048]
[1903],[6],[4],[0],[0],[0.00],[23.5535043315],[-4.109991666]
[1903],[6],[5],[0],[0],[0.00],[23.5621116901],[-4.060604494]
[1903],[6],[6],[0],[0],[0.00],[23.5670525562],[-4.037102658]
[1903],[6],[7],[0],[0],[0.00],[23.5698951290],[-4.026873478]
[1903],[6],[8],[0],[0],[0.00],[23.5736248765],[-4.008329477]
[1903],[6],[9],[0],[0],[0.00],[23.5805009290],[-3.966441970]
[1903],[6],[10],[0],[0],[0.00],[23.5904022040],[-3.903764399]
[1903],[6],[11],[0],[0],[0.00],[23.6009005879],[-3.838691904]
[1903],[6],[12],[0],[0],[0.00],[23.6090160121],[-3.792170381]
[1903],[6],[13],[0],[0],[0.00],[23.6133544157],[-3.772648022]
[1903],[6],[14],[0],[0],[0.00],[23.6151115266],[-3.769958423]
[1903],[6],[15],[0],[0],[0.00],[23.6172405368],[-3.762445467]
[1903],[6],[16],[0],[0],[0.00],[23.6223342049],[-3.732532323]
[1903],[6],[17],[0],[0],[0.00],[23.6307288667],[-3.679594139]
[1903],[6],[18],[0],[0],[0.00],[23.6402457196],[-3.620518633]
[1903],[6],[19],[0],[0],[0.00],[23.6477665018],[-3.577499567]
[1903],[6],[20],[0],[0],[0.00],[23.6514725155],[-3.562083652]
[1903],[6],[21],[0],[0],[0.00],[23.6521524146],[-3.566832959]
[1903],[6],[22],[0],[0],[0.00],[23.6526627020],[-3.570480939]
[1903],[6],[23],[0],[0],[0.00],[23.6558826175],[-3.553200013]
[1903],[6],[24],[0],[0],[0.00],[23.6626123289],[-3.511094102]
[1903],[6],[25],[0],[0],[0.00],[23.6709780883],[-3.459126134]
[1903],[6],[26],[0],[0],[0.00],[23.6777863027],[-3.420310659]
[1903],[6],[27],[0],[0],[0.00],[23.6808181222],[-3.409164327]
[1903],[6],[28],[0],[0],[0.00],[23.6804271958],[-3.421216269]
[1903],[6],[29],[0],[0],[0.00],[23.6793130277],[-3.436026225]
[1903],[6],[30],[0],[0],[0.00],[23.6805904818],[-3.431846962]
[1903],[7],[1],[0],[0],[0.00],[23.6855210290],[-3.401483795]
[1903],[7],[2],[0],[0],[0.00],[23.6925829454],[-3.357615513]
[1903],[7],[3],[0],[0],[0.00],[23.6985703628],[-3.323640765]
[1903],[7],[4],[0],[0],[0.00],[23.7008998233],[-3.316834806]
[1903],[7],[5],[0],[0],[0.00],[23.6994711607],[-3.335871142]
[1903],[7],[6],[0],[0],[0.00],[23.6967658327],[-3.361583536]
[1903],[7],[7],[0],[0],[0.00],[23.6960754426],[-3.370695789]
[1903],[7],[8],[0],[0],[0.00],[23.6991099147],[-3.352756364]
[1903],[7],[9],[0],[0],[0.00],[23.7047411818],[-3.317829500]
[1903],[7],[10],[0],[0],[0.00],[23.7098140114],[-3.289253773]
[1903],[7],[11],[0],[0],[0.00],[23.7114202056],[-3.286814876]
[1903],[7],[12],[0],[0],[0.00],[23.7089952718],[-3.312448836]
[1903],[7],[13],[0],[0],[0.00],[23.7047476453],[-3.348674318]
[1903],[7],[14],[0],[0],[0.00],[23.7020862616],[-3.371088776]
[1903],[7],[15],[0],[0],[0.00],[23.7031474613],[-3.366095819]
[1903],[7],[16],[0],[0],[0.00],[23.7072280803],[-3.340884752]
[1903],[7],[17],[0],[0],[0.00],[23.7112874019],[-3.318274495]
[1903],[7],[18],[0],[0],[0.00],[23.7121424956],[-3.320237127]
[1903],[7],[19],[0],[0],[0.00],[23.7087642468],[-3.352020156]
[1903],[7],[20],[0],[0],[0.00],[23.7030374022],[-3.398216074]
[1903],[7],[21],[0],[0],[0.00],[23.6984246270],[-3.433736810]
[1903],[7],[22],[0],[0],[0.00],[23.6974598329],[-3.442004306]
[1903],[7],[23],[0],[0],[0.00],[23.6998898118],[-3.427114376]
[1903],[7],[24],[0],[0],[0.00],[23.7028488596],[-3.410924348]
[1903],[7],[25],[0],[0],[0.00],[23.7029337672],[-3.417231125]
[1903],[7],[26],[0],[0],[0.00],[23.6986599633],[-3.454575349]
[1903],[7],[27],[0],[0],[0.00],[23.6915476420],[-3.509949793]
[1903],[7],[28],[0],[0],[0.00],[23.6850511017],[-3.558023542]
[1903],[7],[29],[0],[0],[0.00],[23.6820617770],[-3.579487396]
[1903],[7],[30],[0],[0],[0.00],[23.6827900185],[-3.575202584]
[1903],[7],[31],[0],[0],[0.00],[23.6846040253],[-3.565624479]
[1903],[8],[1],[0],[0],[0.00],[23.6839407462],[-3.575961966]
[1903],[8],[2],[0],[0],[0.00],[23.6788772857],[-3.617971315]
[1903],[8],[3],[0],[0],[0.00],[23.6705311809],[-3.681355893]
[1903],[8],[4],[0],[0],[0.00],[23.6622839952],[-3.741005055]
[1903],[8],[5],[0],[0],[0.00],[23.6573386596],[-3.775174143]
[1903],[8],[6],[0],[0],[0.00],[23.6563732589],[-3.781412740]
[1903],[8],[7],[0],[0],[0.00],[23.6570419872],[-3.778372545]
[1903],[8],[8],[0],[0],[0.00],[23.6556824189],[-3.792249613]
[1903],[8],[9],[0],[0],[0.00],[23.6499603762],[-3.837860109]
[1903],[8],[10],[0],[0],[0.00],[23.6405655441],[-3.907840976]
[1903],[8],[11],[0],[0],[0.00],[23.6307437893],[-3.977768553]
[1903],[8],[12],[0],[0],[0.00],[23.6239544133],[-4.023833143]
[1903],[8],[13],[0],[0],[0.00],[23.6213383517],[-4.040261620]
[1903],[8],[14],[0],[0],[0.00],[23.6208851553],[-4.043514463]
[1903],[8],[15],[0],[0],[0.00],[23.6188988835],[-4.060304444]
[1903],[8],[16],[0],[0],[0.00],[23.6126682089],[-4.108297953]
[1903],[8],[17],[0],[0],[0.00],[23.6024362702],[-4.183244084]
[1903],[8],[18],[0],[0],[0.00],[23.5912551253],[-4.261846937]
[1903],[8],[19],[0],[0],[0.00],[23.5827825076],[-4.318633057]
[1903],[8],[20],[0],[0],[0.00],[23.5786085328],[-4.344564051]
[1903],[8],[21],[0],[0],[0.00],[23.5770979051],[-4.353587067]
[1903],[8],[22],[0],[0],[0.00],[23.5745862185],[-4.372456213]
[1903],[8],[23],[0],[0],[0.00],[23.5680311516],[-4.421385028]
[1903],[8],[24],[0],[0],[0.00],[23.5572221090],[-4.499335063]
[1903],[8],[25],[0],[0],[0.00],[23.5449604777],[-4.584580367]
[1903],[8],[26],[0],[0],[0.00],[23.5350380514],[-4.650440740]
[1903],[8],[27],[0],[0],[0.00],[23.5294710341],[-4.684740797]
[1903],[8],[28],[0],[0],[0.00],[23.5270338493],[-4.698625803]
[1903],[8],[29],[0],[0],[0.00],[23.5241578248],[-4.718413763]
[1903],[8],[30],[0],[0],[0.00],[23.5175181943],[-4.766534161]
[1903],[8],[31],[0],[0],[0.00],[23.5064496646],[-4.845209251]
[1903],[9],[1],[0],[0],[0.00],[23.4934504536],[-4.934694358]
[1903],[9],[2],[0],[0],[0.00],[23.4823802684],[-5.007577481]
[1903],[9],[3],[0],[0],[0.00],[23.4756477686],[-5.048754729]
[1903],[9],[4],[0],[0],[0.00],[23.4724592914],[-5.066366307]
[1903],[9],[5],[0],[0],[0.00],[23.4694055974],[-5.085810580]
[1903],[9],[6],[0],[0],[0.00],[23.4629377194],[-5.131324620]
[1903],[9],[7],[0],[0],[0.00],[23.4519447851],[-5.208365189]
[1903],[9],[8],[0],[0],[0.00],[23.4385743845],[-5.299548346]
[1903],[9],[9],[0],[0],[0.00],[23.4266850707],[-5.377234227]
[1903],[9],[10],[0],[0],[0.00],[23.4190389999],[-5.423644574]
[1903],[9],[11],[0],[0],[0.00],[23.4152916235],[-5.443752969]
[1903],[9],[12],[0],[0],[0.00],[23.4122531306],[-5.461581224]
[1903],[9],[13],[0],[0],[0.00],[23.4062117111],[-5.502737744]
[1903],[9],[14],[0],[0],[0.00],[23.3956284850],[-5.575821107]
[1903],[9],[15],[0],[0],[0.00],[23.3822628186],[-5.666116377]
[1903],[9],[16],[0],[0],[0.00],[23.3699057592],[-5.746248098]
[1903],[9],[17],[0],[0],[0.00],[23.3616237122],[-5.796099695]
[1903],[9],[18],[0],[0],[0.00],[23.3575273886],[-5.817398241]
[1903],[9],[19],[0],[0],[0.00],[23.3547051913],[-5.832340535]
[1903],[9],[20],[0],[0],[0.00],[23.3493500433],[-5.867423200]
[1903],[9],[21],[0],[0],[0.00],[23.3395211458],[-5.934229891]
[1903],[9],[22],[0],[0],[0.00],[23.3265561819],[-6.020991771]
[1903],[9],[23],[0],[0],[0.00],[23.3141120255],[-6.101092133]
[1903],[9],[24],[0],[0],[0.00],[23.3055062040],[-6.152443118]
[1903],[9],[25],[0],[0],[0.00],[23.3013021316],[-6.173511773]
[1903],[9],[26],[0],[0],[0.00],[23.2989172060],[-6.184279068]
[1903],[9],[27],[0],[0],[0.00],[23.2945140285],[-6.211659518]
[1903],[9],[28],[0],[0],[0.00],[23.2857831080],[-6.270002623]
[1903],[9],[29],[0],[0],[0.00],[23.2736181895],[-6.350674712]
[1903],[9],[30],[0],[0],[0.00],[23.2614757539],[-6.428306603]
[1903],[10],[1],[0],[0],[0.00],[23.2528615780],[-6.479274009]
[1903],[10],[2],[0],[0],[0.00],[23.2487798153],[-6.498837881]
[1903],[10],[3],[0],[0],[0.00],[23.2470239624],[-6.504402151]
[1903],[10],[4],[0],[0],[0.00],[23.2437955736],[-6.522800834]
[1903],[10],[5],[0],[0],[0.00],[23.2364563796],[-6.570881733]
[1903],[10],[6],[0],[0],[0.00],[23.2254411165],[-6.643279890]
[1903],[10],[7],[0],[0],[0.00],[23.2139468426],[-6.716309592]
[1903],[10],[8],[0],[0],[0.00],[23.2056046650],[-6.765249032]
[1903],[10],[9],[0],[0],[0.00],[23.2018398954],[-6.782268280]
[1903],[10],[10],[0],[0],[0.00],[23.2008590161],[-6.781912518]
[1903],[10],[11],[0],[0],[0.00],[23.1989692785],[-6.790456415]
[1903],[10],[12],[0],[0],[0.00],[23.1932545104],[-6.826899283]
[1903],[10],[13],[0],[0],[0.00],[23.1836873265],[-6.889193114]
[1903],[10],[14],[0],[0],[0.00],[23.1731492667],[-6.955749841]
[1903],[10],[15],[0],[0],[0.00],[23.1653295901],[-7.001218754]
[1903],[10],[16],[0],[0],[0.00],[23.1620470805],[-7.014853010]
[1903],[10],[17],[0],[0],[0.00],[23.1619527182],[-7.008099379]
[1903],[10],[18],[0],[0],[0.00],[23.1615249311],[-7.006208914]
[1903],[10],[19],[0],[0],[0.00],[23.1576232467],[-7.029967204]
[1903],[10],[20],[0],[0],[0.00],[23.1497632424],[-7.080629694]
[1903],[10],[21],[0],[0],[0.00],[23.1404622402],[-7.139064268]
[1903],[10],[22],[0],[0],[0.00],[23.1334009931],[-7.179754256]
[1903],[10],[23],[0],[0],[0.00],[23.1307537503],[-7.189281838]
[1903],[10],[24],[0],[0],[0.00],[23.1316329922],[-7.175855580]
[1903],[10],[25],[0],[0],[0.00],[23.1327499525],[-7.163262878]
[1903],[10],[26],[0],[0],[0.00],[23.1308004944],[-7.173659406]
[1903],[10],[27],[0],[0],[0.00],[23.1248571208],[-7.211525455]
[1903],[10],[28],[0],[0],[0.00],[23.1170297079],[-7.260500916]
[1903],[10],[29],[0],[0],[0.00],[23.1109216216],[-7.295378041]
[1903],[10],[30],[0],[0],[0.00],[23.1090187293],[-7.300351885]
[1903],[10],[31],[0],[0],[0.00],[23.1109055547],[-7.280299354]
[1903],[11],[1],[0],[0],[0.00],[23.1135824179],[-7.257145363]
[1903],[11],[2],[0],[0],[0.00],[23.1136446925],[-7.253984863]
[1903],[11],[3],[0],[0],[0.00],[23.1097458155],[-7.278376026]
[1903],[11],[4],[0],[0],[0.00],[23.1035574596],[-7.316961990]
[1903],[11],[5],[0],[0],[0.00],[23.0985420092],[-7.345286743]
[1903],[11],[6],[0],[0],[0.00],[23.0974440603],[-7.345507519]
[1903],[11],[7],[0],[0],[0.00],[23.1003184815],[-7.319159018]
[1903],[11],[8],[0],[0],[0.00],[23.1045072976],[-7.285929349]
[1903],[11],[9],[0],[0],[0.00],[23.1065733423],[-7.269390776]
[1903],[11],[10],[0],[0],[0.00],[23.1047842911],[-7.279971522]
[1903],[11],[11],[0],[0],[0.00],[23.1003497075],[-7.307506141]
[1903],[11],[12],[0],[0],[0.00],[23.0965297219],[-7.328719500]
[1903],[11],[13],[0],[0],[0.00],[23.0962722642],[-7.324098175]
[1903],[11],[14],[0],[0],[0.00],[23.1000919257],[-7.291884575]
[1903],[11],[15],[0],[0],[0.00],[23.1057161419],[-7.249214945]
[1903],[11],[16],[0],[0],[0.00],[23.1097405989],[-7.219693046]
[1903],[11],[17],[0],[0],[0.00],[23.1100887863],[-7.216351247]
[1903],[11],[18],[0],[0],[0.00],[23.1074974523],[-7.232315258]
[1903],[11],[19],[0],[0],[0.00],[23.1049659016],[-7.245905970]
[1903],[11],[20],[0],[0],[0.00],[23.1055806122],[-7.236369695]
[1903],[11],[21],[0],[0],[0.00],[23.1102935148],[-7.198779397]
[1903],[11],[22],[0],[0],[0.00],[23.1172535278],[-7.147448215]
[1903],[11],[23],[0],[0],[0.00],[23.1231555893],[-7.105553570]
[1903],[11],[24],[0],[0],[0.00],[23.1256260972],[-7.088427995]
[1903],[11],[25],[0],[0],[0.00],[23.1249254159],[-7.092540956]
[1903],[11],[26],[0],[0],[0.00],[23.1237409392],[-7.098176829]
[1903],[11],[27],[0],[0],[0.00],[23.1252331583],[-7.083774071]
[1903],[11],[28],[0],[0],[0.00],[23.1307607932],[-7.041414836]
[1903],[11],[29],[0],[0],[0.00],[23.1389193076],[-6.982389856]
[1903],[11],[30],[0],[0],[0.00],[23.1465656749],[-6.929012630]
[1903],[12],[1],[0],[0],[0.00],[23.1510865962],[-6.898540692]
[1903],[12],[2],[0],[0],[0.00],[23.1522756787],[-6.890756466]
[1903],[12],[3],[0],[0],[0.00],[23.1524625424],[-6.888249542]
[1903],[12],[4],[0],[0],[0.00],[23.1548144294],[-6.869108474]
[1903],[12],[5],[0],[0],[0.00],[23.1610580907],[-6.822658964]
[1903],[12],[6],[0],[0],[0.00],[23.1702535107],[-6.757012124]
[1903],[12],[7],[0],[0],[0.00],[23.1794798506],[-6.693192696]
[1903],[12],[8],[0],[0],[0.00],[23.1859439515],[-6.649989445]
[1903],[12],[9],[0],[0],[0.00],[23.1889913325],[-6.630407402]
[1903],[12],[10],[0],[0],[0.00],[23.1905573383],[-6.619626908]
[1903],[12],[11],[0],[0],[0.00],[23.1937514934],[-6.595834182]
[1903],[12],[12],[0],[0],[0.00],[23.2006217650],[-6.545891580]
[1903],[12],[13],[0],[0],[0.00],[23.2106968868],[-6.474662088]
[1903],[12],[14],[0],[0],[0.00],[23.2213331218],[-6.401482277]
[1903],[12],[15],[0],[0],[0.00],[23.2296230887],[-6.346232117]
[1903],[12],[16],[0],[0],[0.00],[23.2344916937],[-6.314988698]
[1903],[12],[17],[0],[0],[0.00],[23.2374496327],[-6.295771779]
[1903],[12],[18],[0],[0],[0.00],[23.2414825400],[-6.267330366]
[1903],[12],[19],[0],[0],[0.00],[23.2489058787],[-6.214403666]
[1903],[12],[20],[0],[0],[0.00],[23.2597128666],[-6.138589753]
[1903],[12],[21],[0],[0],[0.00],[23.2715839841],[-6.057181689]
[1903],[12],[22],[0],[0],[0.00],[23.2815631046],[-5.990703322]
[1903],[12],[23],[0],[0],[0.00],[23.2881901416],[-5.948094569]
[1903],[12],[24],[0],[0],[0.00],[23.2925322518],[-5.920388947]
[1903],[12],[25],[0],[0],[0.00],[23.2973914704],[-5.887330023]
[1903],[12],[26],[0],[0],[0.00],[23.3052906537],[-5.831927341]
[1903],[12],[27],[0],[0],[0.00],[23.3166718096],[-5.752575082]
[1903],[12],[28],[0],[0],[0.00],[23.3295817495],[-5.664194223]
[1903],[12],[29],[0],[0],[0.00],[23.3410842216],[-5.587476437]
[1903],[12],[30],[0],[0],[0.00],[23.3493783224],[-5.533954719]
[1903],[12],[31],[0],[0],[0.00],[23.3550764172],[-5.497803975]
[1904],[1],[1],[0],[0],[0.00],[23.3607407544],[-5.460179407]
[1904],[1],[2],[0],[0],[0.00],[23.3690403540],[-5.402770677]
[1904],[1],[3],[0],[0],[0.00],[23.3808424740],[-5.320885509]
[1904],[1],[4],[0],[0],[0.00],[23.3945932715],[-5.226801012]
[1904],[1],[5],[0],[0],[0.00],[23.4074414796],[-5.140915822]
[1904],[1],[6],[0],[0],[0.00],[23.4172963502],[-5.077032479]
[1904],[1],[7],[0],[0],[0.00],[23.4243176341],[-5.032503661]
[1904],[1],[8],[0],[0],[0.00],[23.4307778478],[-4.990281262]
[1904],[1],[9],[0],[0],[0.00],[23.4394254805],[-4.931193659]
[1904],[1],[10],[0],[0],[0.00],[23.4515195293],[-4.847650942]
[1904],[1],[11],[0],[0],[0.00],[23.4659303240],[-4.749064628]
[1904],[1],[12],[0],[0],[0.00],[23.4799557573],[-4.655075167]
[1904],[1],[13],[0],[0],[0.00],[23.4912702551],[-4.581394903]
[1904],[1],[14],[0],[0],[0.00],[23.4995888474],[-4.528547529]
[1904],[1],[15],[0],[0],[0.00],[23.5068507172],[-4.481625484]
[1904],[1],[16],[0],[0],[0.00],[23.5158174185],[-4.421060014]
[1904],[1],[17],[0],[0],[0.00],[23.5280981361],[-4.336612695]
[1904],[1],[18],[0],[0],[0.00],[23.5430005139],[-4.234685656]
[1904],[1],[19],[0],[0],[0.00],[23.5580293891],[-4.133730056]
[1904],[1],[20],[0],[0],[0.00],[23.5706861234],[-4.050950867]
[1904],[1],[21],[0],[0],[0.00],[23.5802611989],[-3.989948616]
[1904],[1],[22],[0],[0],[0.00],[23.5883237388],[-3.938259576]
[1904],[1],[23],[0],[0],[0.00],[23.5975816926],[-3.876395740]
[1904],[1],[24],[0],[0],[0.00],[23.6099466017],[-3.791772184]
[1904],[1],[25],[0],[0],[0.00],[23.6251695804],[-3.687687144]
[1904],[1],[26],[0],[0],[0.00],[23.6410168683],[-3.580989163]
