[Year],[M],[D],[H],[M],[S],[alpha],[dec]
[1920],[11],[30],[0],[0],[0.00],[9.1525448574],[16.427298128]
[1920],[12],[1],[0],[0],[0.00],[9.1521090424],[16.432265775]
[1920],[12],[2],[0],[0],[0.00],[9.1513597563],[16.438575118]
[1920],[12],[3],[0],[0],[0.00],[9.1504851235],[16.442491904]
[1920],[12],[4],[0],[0],[0.00],[9.1497664241],[16.442927502]
[1920],[12],[5],[0],[0],[0.00],[9.1492862221],[16.442571992]
[1920],[12],[6],[0],[0],[0.00],[9.1488424971],[16.445102080]
[1920],[12],[7],[0],[0],[0.00],[9.1481584919],[16.451359771]
[1920],[12],[8],[0],[0],[0.00],[9.1471704153],[16.458474374]
[1920],[12],[9],[0],[0],[0.00],[9.1460941925],[16.462840443]
[1920],[12],[10],[0],[0],[0.00],[9.1452019039],[16.463860225]
[1920],[12],[11],[0],[0],[0.00],[9.1445395564],[16.464566347]
[1920],[12],[12],[0],[0],[0.00],[9.1438793085],[16.468472613]
[1920],[12],[13],[0],[0],[0.00],[9.1429562901],[16.475921089]
[1920],[12],[14],[0],[0],[0.00],[9.1417440933],[16.483723168]
[1920],[12],[15],[0],[0],[0.00],[9.1404828566],[16.488467331]
[1920],[12],[16],[0],[0],[0.00],[9.1394306749],[16.490060020]
[1920],[12],[17],[0],[0],[0.00],[9.1385959565],[16.491824131]
[1920],[12],[18],[0],[0],[0.00],[9.1377288003],[16.497047217]
[1920],[12],[19],[0],[0],[0.00],[9.1365808414],[16.505563171]
[1920],[12],[20],[0],[0],[0.00],[9.1351636961],[16.513921154]
[1920],[12],[21],[0],[0],[0.00],[9.1337376706],[16.518965523]
[1920],[12],[22],[0],[0],[0.00],[9.1325422893],[16.521110959]
[1920],[12],[23],[0],[0],[0.00],[9.1315479521],[16.523912669]
[1920],[12],[24],[0],[0],[0.00],[9.1304868443],[16.530372494]
[1920],[12],[25],[0],[0],[0.00],[9.1291314374],[16.539817410]
[1920],[12],[26],[0],[0],[0.00],[9.1275313205],[16.548595287]
[1920],[12],[27],[0],[0],[0.00],[9.1259625077],[16.553863947]
[1920],[12],[28],[0],[0],[0.00],[9.1246416281],[16.556540947]
[1920],[12],[29],[0],[0],[0.00],[9.1235013096],[16.560351142]
[1920],[12],[30],[0],[0],[0.00],[9.1222603308],[16.567955984]
[1920],[12],[31],[0],[0],[0.00],[9.1207160698],[16.578185730]
[1921],[1],[1],[0],[0],[0.00],[9.1189555078],[16.587251196]
