Time,Alpha_1,Delta_1,Alpha_2,Delta_2,RA_Residual,Dec_Residual
1900-01-01,16.6677640910,-22.110966253,16.6677650743,-22.110980541,0.049193178207856944,-0.05143679999690676
1900-01-02,16.6718342024,-22.124138413,16.6718342706,-22.124156551,0.003411635714876165,-0.06529679999260907
1900-01-03,16.6755747885,-22.137146626,16.6755740304,-22.137159590,-0.03791967986864366,-0.0466703999990159
1900-01-04,16.6790614147,-22.147251450,16.6790602825,-22.147253579,-0.056627859946806226,-0.0076644000074566065
1900-01-05,16.6824810615,-22.153134324,16.6824801310,-22.153124776,-0.04653773301717168,0.03437280000468945
1900-01-06,16.6860379288,-22.155534761,16.6860377071,-22.155517575,-0.011087844725069155,0.06186959999041619
1900-01-07,16.6898525690,-22.156871969,16.6898532820,-22.156855323,0.03565880964224718,0.05992560000862568
1900-01-08,16.6939022592,-22.160057790,16.6939036537,-22.160050619,0.06974065062626962,0.025815600000100858
1900-01-09,16.6980306384,-22.167061514,16.6980320463,-22.167067976,0.07040729514061311,-0.023263199993550643
1900-01-10,16.7020237772,-22.177913281,16.7020245165,-22.177929696,0.036968602625401525,-0.05909400000376763
1900-01-11,16.7057171343,-22.190667029,16.7057169295,-22.190684551,-0.01024006845414577,-0.06307920000097056
1900-01-12,16.7090788333,-22.202376157,16.7090779028,-22.202386358,-0.04652143190866377,-0.03672359999455921
1900-01-13,16.7122250158,-22.210582402,16.7122238725,-22.210580909,-0.057157273903269884,0.0053747999970710225
1900-01-14,16.7153602001,-22.214539009,16.7153594255,-22.214526361,-0.038723673487737455,0.04553279999441884
1900-01-15,16.7186749767,-22.215562614,16.7186750306,-22.215544259,0.002694540070241565,0.066077999993297
1900-01-16,16.7222520963,-22.216375960,16.7222530843,-22.216360964,0.04939128381738314,0.05398560000315911
1900-01-17,16.7260250936,-22.219772291,16.7260266107,-22.219768953,0.0758397797562124,0.012016800009462258
1900-01-18,16.7298094551,-22.227229696,16.7298107617,-22.227239954,0.06531341835646585,-0.03692880001153753
1900-01-19,16.7333934248,-22.238153333,16.7333939190,-22.238171207,0.024701803212162646,-0.064346400003501
1900-01-20,16.7366444950,-22.250160123,16.7366440724,-22.250176154,-0.02112118034122808,-0.0577115999917055
1900-01-21,16.7395759690,-22.260280829,16.7395749778,-22.260287834,-0.0495357329752414,-0.02521800000181429
1900-01-22,16.7423390709,-22.266449373,16.7423380463,-22.266444750,-0.05120265860357449,0.016642799995736368
1900-01-23,16.7451465650,-22.268519309,16.7451460406,-22.268504907,-0.026205618535921543,0.0518471999924941
1900-01-24,16.7481672677,-22.268326911,16.7481676238,-22.268309021,0.01779525862481212,0.06440399999547708
1900-01-25,16.7514423792,-22.268789809,16.7514436053,-22.268777737,0.061271256572437316,0.043459200001905174
1900-01-26,16.7548636347,-22.272468139,16.7548652037,-22.272469126,0.07840475814311311,-0.0035531999998283936
1900-01-27,16.7582255363,-22.280278718,16.7582266784,-22.280292467,0.057068880803036244,-0.04949639998983457
1900-01-28,16.7613277479,-22.291017556,16.7613279697,-22.291036324,0.01108213423870062,-0.06756480000120746
1900-01-29,16.7640759758,-22.301961376,16.7640753285,-22.301975679,-0.032339511576231314,-0.05149080000137474
1900-01-30,16.7665287311,-22.310242030,16.7665276563,-22.310245865,-0.0536944942070319,-0.01380599999123433
1900-01-31,16.7688666694,-22.314276935,16.7688657259,-22.314269068,-0.047133691196942544,0.028321199989989054
1900-02-01,16.7713020763,-22.314540953,16.7713017760,-22.314524614,-0.015001823622246812,0.058820400006709406
1900-02-02,16.7739739640,-22.313326958,16.7739745991,-22.313309686,0.03172740961488304,0.06217920000324284
1900-02-03,16.7768788631,-22.313622349,16.7768802684,-22.313613552,0.07020380152135255,0.03166919999841866
1900-02-04,16.7798708541,-22.317630217,16.7798723802,-22.317635369,0.07623635198638838,-0.0185471999998299
1900-02-05,16.7827328869,-22.325654214,16.7827337890,-22.325670506,0.04506183017966347,-0.058651200005499504
1900-02-06,16.7852855815,-22.335929305,16.7852855156,-22.335947752,-0.0032916038897898127,-0.06640919999512107
1900-02-07,16.7874777247,-22.345509789,16.7874768835,-22.345521479,-0.04201376221234456,-0.04208399999043877
1900-02-08,16.7894112006,-22.351753970,16.7894100869,-22.351754192,-0.05562129164044062,-0.0007992000021772583
1900-02-09,16.7912888844,-22.353635806,16.7912880668,-22.353624574,-0.04083267828784428,0.04043519999470391
1900-02-10,16.7933136233,-22.352240721,16.7933135855,-22.352222644,-0.00188783106130731,0.06507720000001882
1900-02-11,16.7955880924,-22.350229110,16.7955890190,-22.350212920,0.04627750099459049,0.05828400000069678
1900-02-12,16.7980632129,-22.350529130,16.7980647647,-22.350523891,0.0775019116076318,0.018860400000164645
1900-02-13,16.8005609557,-22.354878516,16.8005623815,-22.354887299,0.07120684129161571,-0.03161880000703832
1900-02-14,16.8028625654,-22.362940477,16.8028632069,-22.362957842,0.032035730678289985,-0.06251400000536478
1900-02-15,16.8048183090,-22.372464515,16.8048180155,-22.372480958,-0.014656030986866719,-0.05919479999931809
1900-02-16,16.8064224197,-22.380417351,16.8064215062,-22.380425428,-0.04561335333931317,-0.029077200001381698
1900-02-17,16.8078153461,-22.384499508,16.8078143210,-22.384496085,-0.0511843204417247,0.012322800009201273
1900-02-18,16.8092133295,-22.384284759,16.8092127312,-22.384270818,-0.02987379400223905,0.05018759999586564
1900-02-19,16.8108009984,-22.381429532,16.8108012675,-22.381410727,0.013436742272603898,0.06769799999943871
1900-02-20,16.8126394755,-22.378857402,16.8126406793,-22.378843326,0.06010943663951548,0.05067360001049792
1900-02-21,16.8146349783,-22.379310710,16.8146366193,-22.379309606,0.08193991047861193,0.00397439999630933
1900-02-22,16.8165845066,-22.383975680,16.8165857836,-22.383988089,0.06376219216060974,-0.04467239999996764
1900-02-23,16.8182771034,-22.391877874,16.8182774732,-22.391896298,0.018463523130619174,-0.06632640000105994
1900-02-24,16.8195996625,-22.400368518,16.8195991379,-22.400383359,-0.02619084046405455,-0.05342759999535929
1900-02-25,16.8205932095,-22.406454070,16.8205921985,-22.406459038,-0.05047232227878005,-0.017884800008971524
1900-02-26,16.8214317549,-22.408287980,16.8214307920,-22.408281181,-0.0480703835770799,0.024476400004402876
1900-02-27,16.8223354988,-22.406082919,16.8223351160,-22.406066672,-0.01911063955075498,0.058489199992095564
1900-02-28,16.8234616374,-22.402006503,16.8234622002,-22.401987938,0.02809765784440528,0.06683399999189987
1900-03-01,16.8248258765,-22.399114662,16.8248272898,-22.399103766,0.07056013855383723,0.03922559999693931
1900-03-02,16.8262934385,-22.399832525,16.8262950626,-22.399835830,0.08108407925692504,-0.011897999999632702
1900-03-03,16.8276454874,-22.404732579,16.8276465337,-22.404747951,0.05223525720268365,-0.05533920000004855
1900-03-04,16.8286887720,-22.412238079,16.8286888457,-22.412256610,0.0036791843246323196,-0.06671159999456222
1900-03-05,16.8293526893,-22.419414248,16.8293519458,-22.419426803,-0.03711441238635358,-0.04519800000508667
1900-03-06,16.8297242621,-22.423440292,16.8297231743,-22.423441736,-0.05429978124259713,-0.0051984000080551596
1900-03-07,16.8300042282,-22.423012327,16.8300033540,-22.423001914,-0.04363763108009511,0.03748679999375781
1900-03-08,16.8304072340,-22.418986687,16.8304070944,-22.418968268,-0.006968645361368067,0.06630839999957061
1900-03-09,16.8310554135,-22.413958566,16.8310562608,-22.413940804,0.04229761521232914,0.0639432000085094
1900-03-10,16.8319172940,-22.410977988,16.8319188370,-22.410970608,0.07702893952637056,0.026567999998405867
1900-03-11,16.8328227851,-22.412029759,16.8328242779,-22.412036672,0.07452231390959721,-0.024886799999990217
1900-03-12,16.8335475885,-22.417037021,16.8335483406,-22.417053436,0.03754435423552658,-0.05909400000376763
1900-03-13,16.8339252722,-22.423891367,16.8339250775,-22.423907992,-0.00971882060776595,-0.05985000000237051
1900-03-14,16.8339308532,-22.429503004,16.8339299728,-22.429512034,-0.04394506306544021,-0.03250799999108267
1900-03-15,16.8336935741,-22.431346434,16.8336924944,-22.431343928,-0.053892383552440845,0.009021600004643915
1900-03-16,16.8334323569,-22.428722860,16.8334316428,-22.428708997,-0.0356444184330647,0.04990679999821168
1900-03-17,16.8333466287,-22.423108146,16.8333467785,-22.423088262,0.007477594018532547,0.07158240000109117
1900-03-18,16.8335170153,-22.417418328,16.8335181507,-22.417402288,0.056678291219515065,0.057743999994386286
1900-03-19,16.8338651011,-22.414560007,16.8338667513,-22.414556691,0.08237840483014228,0.011937599990119452
